;BIN;New BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
92;12;;se600216;5,500521323039257;631,7550338983051;118;0,350718488555231;836,929;437,384;79,71371747096968;7,338242500209282
93;13;;se600216;5,98410871142637;862,6934622641509;106;0,37194574128051816;1164,08;683,201;109,49175608324946;10,634779472833017
94;14;;se600216;6,481134016325728;1141,7267934782608;92;0,3874634087684305;1542,674;798,343;129,9335788850595;13,546512033778441
95;15;;se600216;6,978880745002981;1497,945049180328;61;0,4071552676239791;1860,385;1095,946;149,38654918582043;19,12698766169455
96;16;;se600216;7,486263888941125;1879,9231304347825;46;0,41396745886560615;2213,817;1584,556;167,29131649492396;24,665758951739598
97;17;;se600216;8,006626985524873;2382,1480377358494;53;0,42878685853645676;2828,174;2016,861;197,13047105094566;27,077952675028612
98;18;;se600216;8,512763678605827;2933,3564029850745;67;0,4393135603795421;3469,502;2534,131;212,87606200557582;26,006950211979575
99;19;;se600216;8,991492651398275;3468,036626865673;67;0,44076774122037465;4026,434;2829,98;252,30678302096624;30,824179488998308
100;20;;se600216;9,46074836357845;4088,2533571428576;56;0,44604927276951295;4701,365;3522,078;258,5748922474476;34,55352341471208
101;21;;se600216;10,023400837407939;4845,437575757575;33;0,444538332133935;5565,347;4157,219;361,7317895673042;62,969422012536064
102;22;;se600216;10,508584275848337;5507,8026176470585;34;0,43849762058571295;5986,521;4948,555;291,12429890642653;49,927405363056984
103;23;;se600216;11,01880346043815;6028,558958333335;24;0,4163242514644711;6366,674;5575,703;251,62191997198775;51,36210933589948
104;24;;se600216;11,458660296600899;6309,002608695653;23;0,38741879045147015;6380,813;6123,174;95,99444779149701;20,016226033976455
105;25;;se600216;11,947810986782727;6324,844375;8;0,34261495911244966;6381,136;6081,735;101,45405776287883;35,86942611151166
106;26;;se600216;12,443341190035675;6374,316777777777;9;0,3056638799827041;6381,492;6356,286;7,894874710496755;2,6316249034989183
107;27;;se600216;12,894823612997962;6367,048666666667;3;0,27435536636220287;6375,631;6354,329;11,237524030378594;6,48798752396397
108;28;;se600216;13,40532650197311;6358,0844;5;0,24384598408721211;6383,254;6305,485;32,74247272733082;14,64287895394893
