;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;7;BW 05;3,1510032673895667;-7,117176470588235;17;-0,020468123252098906;22,858;-53,401;22,004146530356767;5,336789432131136
1;8;BW 05;3,537356303499188;49,78925862068966;58;0,10120829044061329;163,378;-5,12;33,87896629337117;4,448526212957345
2;9;BW 05;4,0026954959034216;145,63581132075473;106;0,2043277589502135;292,741;40,293;52,62583543417638;5,111472995195547
3;10;BW 05;4,512789330964456;283,8234585987261;157;0,27786251208761714;399,625;134,439;54,90508415736014;4,3819027556580155
4;11;BW 05;5,007622035247492;450,75136842105263;171;0,3229678393844685;662,339;227,064;70,70218576843335;5,406731278105975
5;12;BW 05;5,48243739114536;619,0142840909091;176;0,3379842619621082;875,116;357,112;94,19439080005306;7,100169355451832
6;13;BW 05;5,997806741409871;885,1963954802259;177;0,36912977884089787;1104,415;636,479;102,03608225325347;7,66950159386279
7;14;BW 05;6,507207887988722;1174,9313313609466;169;0,38365891147394915;1610,971;819,162;139,1407092611187;10,703131481624515
8;15;BW 05;6,983557528010692;1513,613030534351;131;0,39985410818118083;1924,119;1145,246;151,48447336826504;13,235259890301412
9;16;BW 05;7,5017140091168;1932,1179763779528;127;0,41178353815225255;2643,705;1453,436;216,37189570954882;19,199901011257268
10;17;BW 05;8,006136480487065;2419,5548245614036;171;0,424212390345698;3149,351;1766,288;251,2514238777884;19,21367659831547
11;18;BW 05;8,483198061430372;2926,53402238806;134;0,4313120649053437;3551,895;2214,574;280,23220627046055;24,20837548280537
12;19;BW 05;8,996871698101954;3523,3747723577235;123;0,4353124704557013;4199,974;2945,532;260,07089447008923;23,449802840447767
13;20;BW 05;9,492990288216136;4129,757796747967;123;0,4343424950280042;4962,63;3449,269;321,4718779022503;28,986143070397542
14;21;BW 05;9,982923304820602;4866,308196078431;102;0,440091779459623;5632,157;4110,912;332,8578062088063;32,95783389782556
15;22;BW 05;10,509978925802947;5437,875682352941;85;0,4214446924983227;6077,053;4806,631;280,11585814764356;30,382830675117035
16;23;BW 05;11,002356133518203;5993,6524;75;0,40490329123605334;6376,479;5114,503;238,75567522356283;27,56913067217497
17;24;BW 05;11,486472490568028;6287,2186249999995;80;0,3732633775824191;6381,986;5918,446;115,33804152158466;12,895185061697829
18;25;BW 05;12,01185826477616;6363,946474576272;59;0,3303792559839275;6382,557;6260,42;26,99719095371882;3,5147348898060033
19;26;BW 05;12,470367860374777;6365,987771428571;70;0,2953553590607927;6384,894;6308,332;15,936384820134053;1,9047623066386565
20;27;BW 05;12,898521447696023;6366,665999999999;27;0,26693721574785406;6381,882;6346,645;12,70113832269812;2,44433520987481
21;28;BW 05;13,445911904098498;6354,824130434782;23;0,23520665261568258;6383,789;6306,047;17,99942949930384;3,7531404954089673
22;29;BW 05;13,966774189256956;6352,20455;20;0,20977464232936446;6377,463;6341,063;12,052753537655816;2,6950776226249475
23;30;BW 05;14,465455326521692;6352,484133333333;15;0,18882700876214986;6378,305;6336,323;11,2085359300511;2,894031532830358
24;31;BW 05;15,071841920124491;6353,3200625;16;0,16696236695564662;6381,957;6335,877;16,3813548543;4,095338713575
