;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;7;BW 06;3,0062457508339655;1,6386666666666665;6;0,005426677709695291;;;;
1;8;BW 06;3,532326952271391;37,24704761904762;21;0,0760371829578744;122,396;-25,925;33,962480761555675;7,4112208989671595
2;9;BW 06;4,03203734793368;149,89089655172418;58;0,20573987340933178;301,565;-3,385;52,009409859602755;6,829170083803721
3;10;BW 06;4,52421146976717;280,4052200000001;100;0,27244212219508385;432,547;109,463;56,26904217487447;5,626904217487447
4;11;BW 06;5,004562411453762;432,77483168316814;101;0,31065655140918375;622,424;227,064;67,30208035410067;6,696807293083124
5;12;BW 06;5,473757350406604;621,9824869565218;115;0,34122306688055204;865,806;409,727;82,73071331882174;7,7146787958952245
6;13;BW 06;6,003004535546695;864,2046129032259;124;0,3594408357534727;1164,08;610,53;102,79290920145421;9,231075751669017
7;14;BW 06;6,491979416653505;1136,5976666666668;90;0,3737594717396083;1542,674;798,343;127,45041878022175;13,434453736259991
8;15;BW 06;7,006842305353423;1485,996794117647;68;0,38865807188286927;1914,168;1095,946;151,84223641637533;18,413575858080115
9;16;BW 06;7,462110351006598;1880,607738095238;42;0,40722090705752034;2403,742;1532,186;164,5466098861846;25,390093130343754
10;17;BW 06;8,021508400715659;2383,2532413793106;58;0,415450144237631;3046,79;1766,288;214,74483685441393;28,197378502396177
11;18;BW 06;8,490525498523356;2906,3024375;48;0,42722232985580494;3469,502;2414,013;233,02188075703305;33,633811395536476
12;19;BW 06;8,985935706048734;3416,8015064935057;77;0,42368850252575296;4237,289;2829,98;273,1030775502528;31,122984150528016
13;20;BW 06;9,488941157991366;4103,177725490195;51;0,4320996530099684;4962,63;3174,789;308,1964942636237;43,1561412884605
14;21;BW 06;9,996097866450608;4678,671684210527;38;0,42145180872756915;5632,157;3818,851;344,3534946602071;55,86151327512325
15;22;BW 06;10,564023262564492;5469,968314285715;35;0,41745879357309607;5986,521;4664,382;305,8250915683154;51,69387546833998
16;23;BW 06;11,014677656445786;5984,234565217391;23;0,4029118882276388;6366,674;5419,276;246,44141570543044;51,386587395213816
17;24;BW 06;11,500886057935313;6237,428249999999;28;0,3689168656593468;6380,813;5814,238;120,6469914531047;22,80013827236073
18;25;BW 06;11,991387324071416;6366,353428571429;7;0,3321997502053676;6382,599;5888,931;91,23357186719913;34,48304891153538
19;26;BW 06;12,455655304655126;6368,8865;8;0,2965381785673107;6384,894;6323,487;13,258177341790056;4,687473552276791
20;27;BW 06;12,999826572572509;6369,0470000000005;9;0,2608426644982294;6382,006;6345,966;11,547454342050614;3,8491514473502044
