;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;7;BW 09;3,1041348712066426;-14,621875;8;-0,04398434902753069;;;;
1;8;BW 09;3,5397481909666886;33,018702702702704;37;0,06698225283451414;122,396;-25,925;33,962480761555675;5,583397443577433
2;9;BW 09;4,03952350278309;137,02910843373493;83;0,18704205436070892;301,565;-3,385;52,009409859602755;5,708774385739801
3;10;BW 09;4,519915820318296;268,637074468085;94;0,2617530551442644;432,547;109,463;56,26904217487447;5,803708560579763
4;11;BW 09;4,994512040971061;434,20452941176455;102;0,3135681947782689;622,424;227,064;67,30208035410067;6,663898949983148
5;12;BW 09;5,5236443692177914;644,0348173076925;104;0,3438341964482157;865,806;409,727;82,73071331882174;8,112413876656204
6;13;BW 09;6,01225888514088;874,5468760330577;121;0,3620653162842161;1164,08;610,53;102,79290920145421;9,344809927404928
7;14;BW 09;6,472487197883214;1137,760486842105;76;0,3775322849145883;1542,674;798,343;127,45041878022175;14,619565678287499
8;15;BW 09;6,958247304996216;1424,096923076923;65;0,3803267021311658;1914,168;1095,946;151,84223641637533;18,83371149333696
9;16;BW 09;7,505988849276116;1860,2328727272725;55;0,39578599240590245;2403,742;1532,186;164,5466098861846;22,18746035081168
10;17;BW 09;7,987649609571411;2289,6677111111107;45;0,4042334913235681;3046,79;1766,288;214,74483685441393;32,01227020157144
11;18;BW 09;8,502311451504616;2816,55772;50;0,4123105772958544;3469,502;2414,013;233,02188075703305;32,95427040962823
12;19;BW 09;8,994011643647536;3382,787436619718;71;0,41834176298593573;4237,289;2829,98;273,1030775502528;32,41137232329335
13;20;BW 09;9,50490745162348;4016,220479166666;48;0,42081452184299667;4962,63;3174,789;308,1964942636237;44,48433223160053
14;21;BW 09;9,99527236473618;4631,977210526316;38;0,41734898834604317;5632,157;3818,851;344,3534946602071;55,86151327512325
15;22;BW 09;10,550151430734228;5441,231485714284;35;0,41690583379357704;5986,521;4664,382;305,8250915683154;51,69387546833998
16;23;BW 09;11,002346248106644;5997,601559999998;25;0,40517117024094607;6366,674;5419,276;246,44141570543044;49,28828314108609
17;24;BW 09;11,520446432990243;6298,4617727272735;22;0,37063243322556366;6380,813;5814,238;120,6469914531047;25,72202500395113
18;25;BW 09;12,01679567926952;6377,4203;10;0,3306708095935134;6382,599;5888,931;91,23357186719913;28,850588617301014
19;26;BW 09;12,493125847932983;6366,8526;10;0,2937841090434117;6384,894;6323,487;13,258177341790056;4,1926038022493275
20;27;BW 09;13,006148099705449;6372,68725;4;0,26061137649912275;6382,006;6345,966;11,547454342050614;5,773727171025307
21;28;BW 09;13,455692911842355;6379,842666666666;3;0,2356180825257667;6385,729;6305,485;20,454026674296205;11,8091378064167
