;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;7;BW 05;3,191451063101621;-11,92175;4;-0,03299835510064856;5,803;-37,47;18,237717042345697;9,118858521172848
1;8;BW 05;3,5250006294858394;60,806200000000004;5;0,12490709750751487;136,08;10,988;47,49359151717209;21,239779825600834
2;9;BW 05;4,093532051418511;187,351125;8;0,24574153656382622;239,683;107,967;50,342665465040696;17,798820066668046
3;10;BW 05;4,45000043396168;289,2042272727273;22;0,2952849594447181;404,184;188,087;50,92062920526585;10,856314623841095
4;11;BW 05;5,0412034571147135;502,60665;20;0,3529737459421208;618,209;406,192;70,76878850265993;15,824382177725315
5;12;BW 05;5,498638877773574;676,7551785714286;28;0,36625439276676425;852,351;525,173;78,31093789269542;14,799376185735474
6;13;BW 05;6,010788319217727;940,2274418604651;43;0,3895430595063136;1190,847;716,321;113,341635016672;17,284437299202363
7;14;BW 05;6,496248858021613;1191,7486086956521;46;0,3911231687976718;1514,563;932,045;124,96508132780815;18,425096042027842
8;15;BW 05;7,003684452306406;1616,2119024390242;41;0,42328749424208645;1909,909;1263,138;160,45547019746704;25,058934396343545
9;16;BW 05;7,517307575619343;2019,8069999999998;73;0,42779899751549494;2481,987;1686,485;174,6241806804133;20,438214435019955
10;17;BW 05;8,014553541317886;2503,2698876404493;89;0,4375085264064183;2934,692;2037,501;218,1560692469562;23,124497091229426
11;18;BW 05;8,4655804683929;2984,515619047619;63;0,44260924313223715;3447,573;2600,653;192,2614720871309;24,222668659130225
12;19;BW 05;8,995536253321452;3552,8692467532474;77;0,43915203543861864;4257,164;2839,876;241,83088841368354;27,559187449369755
13;20;BW 05;9,542055185605431;4270,871649122807;57;0,4422904863829555;4879,962;3402,969;297,831022022585;39,44868256066655
14;21;BW 05;9,991206428442032;4891,61552;50;0,4412811414454067;5701,306;4130,058;368,5056195370395;52,1145644959981
15;22;BW 05;10,50941795059242;5635,769288461539;52;0,4368517341858904;6215,515;4853,846;334,6649677669369;46,409680822507475
16;23;BW 05;10,974376807672174;6136,474568965517;58;0,41773049950388036;6380,474;5494,105;227,17211794376652;29,82916045238415
17;24;BW 05;11,467970284790162;6326,620653846154;26;0,37742352602773716;6381,491;6009,52;95,44189376199196;18,71769533487102
18;25;BW 05;11,970802565907302;6379,904904761905;21;0,33462720885972985;6382,236;6377,065;1,097846842904668;0,23956982186090162
19;26;BW 05;12,440779262341477;6380,337666666666;6;0,2981382925457731;6381,624;6378,856;1,0060068919573335;0,4107005938364456
20;27;BW 05;13,01521222137908;6381,027666666666;9;0,2604076362786604;6383,963;6379,452;1,3194912845487252;0,4398304281829084
21;8;BW 06;3,3885506667749477;47,6524;5;0,1101944387133579;68,379;14,739;25,156516368527658;11,250336135422799
22;9;BW 06;3,9851044884253373;174,40690909090907;11;0,2479484491304859;273,37;96,257;67,51475089260798;20,356463320463
23;10;BW 06;4,481454033362016;292,75059090909093;22;0,2926562419869605;373,59;165,097;53,03646603060154;11,307412550694247
24;11;BW 06;5,006698042176453;481,33554545454547;33;0,3450726869030842;624,769;333,25;65,55898507503134;11,412354448696036
25;12;BW 06;5,524220038089027;682,2021666666666;30;0,36409694714985574;843,66;528,963;89,94306875945372;16,421282550263665
26;13;BW 06;6,030994068012008;903,6810499999999;40;0,37065112369608855;1082,403;706,915;89,07451666829155;14,083917707521715
27;14;BW 06;6,535041773698999;1190,4075217391305;46;0,3837668062588739;1462,605;963,011;132,519742306108;19,53897003475544
28;15;BW 06;7,027466655356234;1518,9182553191488;47;0,3937811025924941;1901,658;1087,441;190,1058313971307;27,729785480442644
29;16;BW 06;7,522176817504272;1905,008;36;0,40270130789798353;2212,167;1613,227;179,64607594632923;29,94101265772154
30;17;BW 06;7,968656463674035;2265,482309859155;71;0,40283037615274153;2743,946;1802,773;212,68514219243642;25,241082572433516
31;18;BW 06;8,513197980888082;2775,2005512820515;78;0,4046998307255113;3413,392;2175,142;238,58491887608434;27,014422433664173
32;19;BW 06;8,974408771270188;3287,5522153846155;65;0,40923424410036147;3937,647;2664,836;290,2838298496886;36,00527779094507
33;20;BW 06;9,508869349167393;3874,757517857143;56;0,40548494895541487;4831,8;3286,331;323,2890550126081;43,201317169681865
34;21;BW 06;9,977987243784215;4486,794285714285;49;0,4063723726571189;5368,945;3677,562;373,66566660518845;53,38080951502692
35;22;BW 06;10,484824111430724;5305,591936170213;47;0,41415913617559924;5991,043;4803,124;315,1920593792881;45,97548706156373
36;23;BW 06;10,971238237256031;5923,817173913044;46;0,4036003730323031;6378,002;5008,177;311,4850515713616;45,92596531669057
37;24;BW 06;11,48931782802714;6221,512675675676;37;0,3690881565734374;6381,2;5469,731;197,0971835178516;32,40257737107296
38;25;BW 06;11,972602850123245;6355,407258064516;31;0,3331919542724278;6382,107;6159,68;59,31505966557891;10,653299205972473
39;26;BW 06;12,472135980066328;6380,093454545455;22;0,2958839299321278;6381,472;6377,866;0,9575483937674271;0,20415000349637957
40;27;BW 06;12,961012560173588;6381,015285714287;7;0,2636876806379512;6383,077;6379,413;1,2468474531508411;0,47126404055305476
41;28;BW 06;13,441502188676438;6380,0818;5;0,23637398410499785;6382,098;6378,477;1,3863018069671664;0,6199730155418751
42;30;BW 06;14,608337111879644;6380,357666666667;3;0,18414482880909558;6383,595;6377,195;3,2006532666527705;1,8478980250846322
43;34;BW 06;16,695936902057138;6380,2283333333335;3;0,12334475503815584;6381,904;6379,326;1,45260260681803;0,8386605060719418
44;8;BW 07;3,549775826602331;64,5638;5;0,12986829845645406;120,887;-7,105;46,4518350520192;20,77389217118448
45;9;BW 07;4,109808114709753;192,6692;5;0,2497264295286088;230,3;157,345;28,497062790750913;12,74427391183978
46;10;BW 07;4,548188959819986;329,75504347826086;23;0,31534997243033974;398,179;236,289;46,14450048240581;9,621793480045252
47;11;BW 07;5,002119914883059;465,21234782608695;23;0,33443042963407904;568,932;381,825;51,63008610790688;10,765617152506518
48;12;BW 07;5,550061872111212;703,9082325581395;43;0,3704583774330143;860,861;536,412;96,3123555431906;14,68749652570208
49;13;BW 07;6,024961653431465;947,1528000000001;40;0,3896494214795249;1140,723;757,894;100,59515988336103;15,905491341010947
50;14;BW 07;6,531258280738464;1225,1444324324323;37;0,39565218202360247;1561,772;999,622;118,25295172462118;19,44066550939703
51;15;BW 07;7,0046162612165075;1536,8237499999998;48;0,4023350506676927;1951,312;1184,811;161,4985729000249;23,310311134392446
52;16;BW 07;7,481881809333965;1966,5834047619046;42;0,4224707926022197;2416,929;1690,152;187,16915572675518;28,880827738214784
53;17;BW 07;8,010127007924781;2409,0899;90;0,4217466579028077;2825,065;2053,283;185,53860049002972;19,55748571428423
54;18;BW 07;8,48135554376575;2899,6272394366197;71;0,427625123041041;3566,466;2203,583;268,8601519766345;31,907829698508166
55;19;BW 07;8,943504279130437;3401,5114857142858;70;0,42782448290616837;3999,829;2596,192;313,06678726837714;37,418638077556885
56;20;BW 07;9,487446419247815;4055,327094339623;53;0,42726245377889643;4940,085;3239,702;395,30640552917276;54,299510796016335
57;21;BW 07;9,998110887162587;4821,736366666667;30;0,4340766887731099;5489,804;3986,669;411,1309369712539;75,06189608913014
58;22;BW 07;10,477400904442597;5558,188970588235;34;0,43479993644495246;6273,723;4910,759;329,3938313100602;56,49057602434555
59;23;BW 07;10,97041431735292;6070,6033043478255;23;0,4136943735269457;6349,745;5537,336;195,15906503144706;40,693478092958735
60;24;BW 07;11,494397384537267;6282,231333333333;12;0,3721963859549916;6378,825;5813,321;166,537272042427;48,07516942190058
61;25;BW 07;11,997883561079199;6379,2773333333325;6;0,33233371655668076;6383,272;6366,799;6,18159894094297;2,523627199973194
62;26;BW 07;12,42106715106185;6380,0985;4;0,2995487449680922;6380,58;6379,576;0,48841273529683765;0,24420636764841883
63;27;BW 07;12,96526130967317;6380,911;5;0,26342422694058276;6384,207;6376,378;2,886777182257275;1,2910060030845132
64;34;BW 07;16,594908536792364;6380,409333333333;3;0,1256147973286988;6381,125;6379,935;0,6306396223938966;0,36409995575076015
65;13;BW 08;6,014561239933876;891,7895;16;0,3687799921319396;1086,865;701,276;111,49625464920341;27,874063662300852
66;14;BW 08;6,446737091300505;1178,109625;8;0,39562404214867586;1512,585;986,244;186,17132805328805;65,82150426449265
