;BIN;New BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;7;;BW 05;3,1510032673895663;-7,1171764705882365;17;-0,020468123252098923;22,858;-53,401;22,004146530356767;5,336789432131136
1;8;;BW 05;3,537356303499187;49,789258620689665;58;0,1012082904406134;163,378;-5,12;33,87896629337117;4,448526212957345
2;9;;BW 05;4,002695495903421;145,63581132075467;106;0,20432775895021354;292,741;40,293;52,62583543417638;5,111472995195547
3;10;;BW 05;4,512789330964456;283,8234585987261;157;0,27786251208761714;399,625;134,439;54,90508415736014;4,3819027556580155
4;11;;BW 05;5,0076220352474925;450,7513684210528;171;0,32296783938446844;662,339;227,064;70,70218576843335;5,406731278105975
5;12;;BW 05;5,482437391145356;619,0142840909091;176;0,3379842619621089;875,116;357,112;94,19439080005306;7,100169355451832
6;13;;BW 05;5,99780674140987;885,1963954802256;177;0,3691297788408979;1104,415;636,479;102,03608225325347;7,66950159386279
7;14;;BW 05;6,50720788798872;1174,931331360947;169;0,3836589114739496;1610,971;819,162;139,1407092611187;10,703131481624515
8;15;;BW 05;6,983557528010691;1513,6130305343513;131;0,39985410818118106;1924,119;1145,246;151,48447336826504;13,235259890301412
9;16;;BW 05;7,501714009116796;1932,1179763779517;127;0,41178353815225305;2643,705;1453,436;216,37189570954882;19,199901011257268
10;17;;BW 05;8,006136480487063;2419,554824561404;171;0,4242123903456984;3149,351;1766,288;251,2514238777884;19,21367659831547
11;18;;BW 05;8,483198061430377;2926,534022388061;134;0,4313120649053431;3551,895;2214,574;280,23220627046055;24,20837548280537
12;19;;BW 05;8,996871698101952;3523,374772357722;123;0,4353124704557014;4199,974;2945,532;260,07089447008923;23,449802840447767
13;20;;BW 05;9,49299028821614;4129,757796747967;123;0,4343424950280037;4962,63;3449,269;321,4718779022503;28,986143070397542
14;21;;BW 05;9,982923304820602;4866,308196078432;102;0,4400917794596231;5632,157;4110,912;332,8578062088063;32,95783389782556
15;22;;BW 05;10,509978925802944;5437,875682352942;85;0,42144469249832317;6077,053;4806,631;280,11585814764356;30,382830675117035
16;23;;BW 05;11,002356133518203;5993,652400000001;75;0,4049032912360534;6376,479;5114,503;238,75567522356283;27,56913067217497
17;24;;BW 05;11,486472490568023;6287,218625000002;80;0,3732633775824198;6381,986;5918,446;115,33804152158466;12,895185061697829
18;25;;BW 05;12,011858264776164;6363,946474576271;59;0,3303792559839271;6382,557;6260,42;26,99719095371882;3,5147348898060033
19;26;;BW 05;12,470367860374779;6365,98777142857;70;0,2953553590607925;6384,894;6308,332;15,936384820134053;1,9047623066386565
20;27;;BW 05;12,898521447696023;6366,665999999999;27;0,26693721574785406;6381,882;6346,645;12,70113832269812;2,44433520987481
21;28;;BW 05;13,4459119040985;6354,824130434782;23;0,23520665261568244;6383,789;6306,047;17,99942949930384;3,7531404954089673
22;29;;BW 05;13,966774189256956;6352,20455;20;0,20977464232936446;6377,463;6341,063;12,052753537655816;2,6950776226249475
23;30;;BW 05;14,465455326521692;6352,484133333334;15;0,1888270087621499;6378,305;6336,323;11,2085359300511;2,894031532830358
24;31;;BW 05;15,071841920124491;6353,3200625;16;0,16696236695564662;6381,957;6335,877;16,3813548543;4,095338713575
25;32;;BW 05;15,506766231132307;6352,950812500001;16;0,15329522354028577;6379,128;6335,641;15,581476858624157;3,8953692146560392
26;33;;BW 05;16,017023759385243;6354,357076923076;13;0,13913711890450564;6380,127;6341,19;14,524417483795554;4,028348614159271
27;34;;BW 05;16,506113065959777;6348,5898333333325;6;0,1270163627135808;6372,466;6342,632;11,735724867543315;4,791089614528804
28;35;;BW 05;16,954622190646603;6356,91075;4;0,11735419371912213;6379,696;6344,898;15,618348384192254;7,809174192096127
29;38;;BW 05;18,585836339544493;6345,633714285715;7;0,08892943311442385;6347,101;6343,238;1,195302014037103;0,4517816958224015
30;39;;BW 05;19,03083431120226;6350,524666666667;3;0,0828997025879085;6359,27;6345,698;7,587276015365101;4,380515849887033
31;40;;BW 05;19,456079822443208;6353,711499999999;4;0,07762083721535624;6381,305;6341,324;18,542391979821673;9,271195989910836
32;41;;BW 05;19,976825833432788;6357,509999999999;3;0,07175042070690989;6379,9;6345,779;19,3977156129267;11,199276330787036
33;43;;BW 05;20,976090508337037;6355,134000000001;3;0,06195379539618542;6380,419;6337,591;22,439102455312064;12,955221842948013
34;44;;BW 05;21,487350901721044;6341,918666666667;3;0,057516028358795254;6343,876;6339,864;2,0077702391794143;1,1591866880611543
35;7;;BW 06;3,0975308361650407;6,085666666666667;15;0,018423752679733292;42,338;-22,669;20,622614233154916;5,3247360986846015
36;8;;BW 06;3,5276312322204966;46,24440000000001;50;0,09478212945682571;125,807;-24,972;32,484230278957305;4,593963902375217
37;9;;BW 06;4,024409310540863;149,6045048543689;103;0,20651665666992614;301,565;51,017;50,353837767144206;4,961511061990213
38;10;;BW 06;4,5045641717315945;277,54683529411744;170;0,2732088697866934;400,833;133,698;57,23033424976283;4,389366266960063
39;11;;BW 06;4,999364605597486;438,71435502958576;169;0,3159033716958353;630,031;294,776;67,23148178312121;5,171652444855478
40;12;;BW 06;5,4767923411327235;625,760886597938;194;0,34272551700292225;872,811;409,727;81,30662167693089;5,837475238259837
41;13;;BW 06;6,003744859224698;875,1411523809513;210;0,36385493764507154;1216,97;630,934;99,685783510446;6,878972595661676
42;14;;BW 06;6,498721671385839;1145,4451853932583;178;0,3754977585225261;1449,003;813,897;130,06081077839187;9,748469917489919
43;15;;BW 06;7,005538649665602;1498,3439006622516;151;0,3921062399927679;1860,043;1112,84;154,29284160533848;12,556173376943102
44;16;;BW 06;7,485677998826444;1900,261251700681;147;0,4076024044514719;2403,742;1527,676;174,62255260680297;14,402625393445327
45;17;;BW 06;7,991819355361137;2363,7039740259743;154;0,4166515090030946;2866,924;1795,956;201,75656891341026;16,258007637339514
46;18;;BW 06;8,496403804218257;2928,000896551723;145;0,42951923842994044;3612,495;2241,888;249,89474297057455;20,752628842918377
47;19;;BW 06;8,99897368794109;3427,020590643275;171;0,4231112935834994;4109,167;2840,993;253,30314944350005;19,37057597376838
48;20;;BW 06;9,491618479382833;4086,9662038834954;103;0,43002833888564274;4857,151;3493,551;336,29105444255475;33,13574219269915
49;21;;BW 06;9,999780442442107;4717,790790697675;86;0,4245062943428237;5379,022;4036,639;317,4284962197133;34,22919504116885
50;22;;BW 06;10,508633558060184;5405,600009433962;106;0,41910419871745097;5935,891;4800,158;273,55508405718416;26,5700185720696
51;23;;BW 06;11,002376617249922;5910,126231884056;69;0,3992584216645061;6363,723;5180,095;268,6119639641005;32,33708043086213
52;24;;BW 06;11,501257734502362;6263,083056179777;89;0,37039832444618725;6381,392;5596,739;150,09826717712752;15,91038450003834
53;25;;BW 06;11,960491490770542;6359,810999999997;73;0,3344367389123976;6383,399;6176,725;38,47086490918957;4,502674162598911
54;26;;BW 06;12,470102841084504;6367,632578125;64;0,295450507524909;6383,98;6289,379;15,980822919992098;1,9976028649990123
55;27;;BW 06;12,982049761406898;6364,787622222223;45;0,2617405183181136;6383,489;6338,8;14,956615323067911;2,2296005717129885
56;28;;BW 06;13,479561864970014;6353,832032258066;31;0,23341311294378778;6382,839;6306,815;16,537615107150774;2,9702433561223702
57;29;;BW 06;13,954119328340619;6355,767681818183;22;0,210463877063186;6380,682;6337,936;14,056869743623047;2,9969346990579395
58;30;;BW 06;14,522242623767529;6360,6768999999995;10;0,1868611943755416;6379,742;6343,933;12,481197711847377;3,946901269631965
59;31;;BW 06;15,069970957192218;6352,077416666666;12;0,16699189234264042;6378,938;6325,065;16,56652960014329;4,782345162090317
60;32;;BW 06;15,5495317108591;6358,277266666668;15;0,1521613556886802;6381,609;6336,866;17,639104182253217;4,554397115992287
61;33;;BW 06;15,96939336517025;6344,756909090909;11;0,14017371410986634;6357,004;6340,528;4,449512792532227;1,3415785847923516
62;34;;BW 06;16,51845642948549;6348,7949;10;0,12673593130475413;6367,694;6342,365;8,83338483569927;2,793361552960193
63;35;;BW 06;16,982680520044664;6354,1377999999995;5;0,11672254805170754;6368,509;6345,021;9,85909819405412;4,409122751750084
64;37;;BW 06;17,94982602057401;6348,992333333333;3;0,09877360887434493;6358,188;6344,013;7,972813576984005;4,603106064870419
65;38;;BW 06;18,55454614019599;6345,922;9;0,08938416194688023;6347,589;6344,035;1,1110713298434833;0,3703571099478278
66;39;;BW 06;19,11216472874503;6349,681666666666;3;0,08183501433795622;6357,253;6343,825;6,876253146396863;3,97000660508824
67;42;;BW 06;20,607040863149223;6358,531249999999;4;0,06537726719423428;6381,374;6332,848;24,340942317762657;12,170471158881329
68;43;;BW 06;20,97334985404635;6357,874666666667;3;0,06200481386509333;6380,439;6345,863;19,554897707053417;11,290025455142887
69;7;;BW 07;3,0514136630808117;-5,505928571428574;14;-0,01743589171430318;20,495;-46,154;20,72006969643864;5,537671559582181
70;8;;BW 07;3,524121827915713;53,141048387096774;62;0,10924315328303802;133,892;-12,696;36,01676581334529;4,574133832430971
71;9;;BW 07;4,02399186150222;154,56778571428572;126;0,21343446708074543;251,464;46,433;48,3957115400292;4,31143265647455
72;10;;BW 07;4,492743327350759;285,29200000000014;159;0,2830555141832518;432,588;109,463;57,97334663239215;4,597585447620623
73;11;;BW 07;5,003839983085869;448,7656685393259;178;0,3222747170607138;655,488;293,22;66,20988862817279;4,962640965170223
74;12;;BW 07;5,493830365825608;636,4232216494847;194;0,34533224416142533;959,433;437,384;81,90213555268579;5,8802306428266675
75;13;;BW 07;5,988919130579889;873,5511782178219;202;0,36589784967518835;1164,08;683,201;102,45208788564183;7,2085037488829675
76;14;;BW 07;6,498547500588648;1158,2173939393942;198;0,3797152498854088;1577,493;798,343;125,61531359269553;8,927091614399112
77;15;;BW 07;6,989316286405281;1495,3272482269501;141;0,3940478978424663;1860,385;1095,946;149,98535010818108;12,631045072543913
78;16;;BW 07;7,491907138445415;1922,4845606060599;132;0,41134152451425093;2353,655;1429,089;187,30373390368774;16,302697474851865
79;17;;BW 07;8,001073724268267;2391,422733333334;150;0,4200764998579325;3041,881;1767,615;242,9854763214804;19,83968106315837
80;18;;BW 07;8,506293006462299;2926,6395426829263;164;0,4278239282444148;3469,502;2299,947;232,71884144699953;18,172288465567988
81;19;;BW 07;8,994630998520575;3481,184409722224;144;0,4304213702883263;4259,407;2829,98;270,5234546955686;22,543621224630716
82;20;;BW 07;9,483672170137105;4137,655403508773;114;0,43645710665083765;4885,334;3477,196;288,59182627932114;27,029100983166124
83;21;;BW 07;10,003776886813332;4871,656592233009;103;0,4378259766794104;5580,129;3898,56;346,04940030220905;34,09726058089622
84;22;;BW 07;10,49049433714739;5492,704390000003;100;0,42807041647101096;6147,993;4800,485;291,3509919507826;29,13509919507826
85;23;;BW 07;11,01377215822569;6020,271140845071;71;0,4054381739309311;6367,656;5358,473;232,40728416758222;27,58167020807333
86;24;;BW 07;11,522013403353748;6316,759202020203;99;0,3715575094187322;6382,236;5905,853;106,00222852730349;10,653624817168883
87;25;;BW 07;12,002739312115764;6361,0744310344835;58;0,33098339456090586;6382,073;6081,735;48,30996100733521;6,3434086514654755
88;26;;BW 07;12,475925064147395;6367,045384615384;65;0,29500985401318;6385,173;6330,953;14,822311957708504;1,8384815296728252
89;27;;BW 07;12,975133014503724;6361,396318181819;44;0,26201964069337047;6383,348;6338,272;14,589924136711831;2,1995138218737758
90;28;;BW 07;13,48638275188052;6354,622692307691;26;0,23308813974012677;6383,254;6305,485;19,863833023400552;3,8956181615795455
91;29;;BW 07;13,9634265436145;6352,479600000001;10;0,20993464480672813;6379,31;6341,103;13,209438033298595;4,1771910796078675
92;30;;BW 07;14,477438285406672;6360,0886875;16;0,18858400490368538;6381,228;6340,015;15,815696337157192;3,953924084289298
93;31;;BW 07;15,003826991910072;6351,144428571429;21;0,16918532718708446;6382,301;6335,213;13,213844469235244;2,8834972619830515
94;32;;BW 07;15,449140972490959;6354,419333333334;6;0,15505283533978328;6382,162;6338,956;17,146463724823064;7,000014503159657
