;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
1218;7;R26;3,0726884006365185;45,82114285714285;7;0,0;73,482;-0,529;24,740668243660217;9,351093634611157
1219;8;R26;3,5635421423660683;103,60466666666666;9;0,0;188,255;42,945;42,50676759058491;14,168922530194969
1220;9;R26;4,004549929007137;186,48311764705883;17;0,0;242,223;138,885;32,816973529109816;7,959285186683443
1221;10;R26;4,508456309207217;258,5767368421053;19;0,0;362,14;22,143;71,13574759011588;16,319659737817478
1222;11;R26;5,003726905503321;373,32217391304346;23;0,0;572,97;76,728;113,49804489972192;23,665978328889082
1223;12;R26;5,51320099777605;513,1660810810811;37;0,0;669,092;101,441;132,91654992918146;21,85134620447939
1224;13;R26;6,028978673765155;633,691741935484;62;0,0;988,603;8,814;235,49614724111245;29,908040607676842
1225;14;R26;6,480864983904293;790,8149821428569;56;0,0;1119,918;7,987;255,21822289017265;34,10496960415474
1226;15;R26;7,004917120679171;915,3179090909091;66;0,0;1377,859;8,409;397,1845430530605;48,89003759834619
1227;16;R26;7,542969636843939;1318,533794520548;73;0,0;2038,766;220,562;267,3616780267966;31,29231751253877
1228;17;R26;7,999240425909306;1410,5329999999992;102;0,0;2226,425;11,68;490,68318494565915;48,58487499539135
1229;18;R26;8,474699899249558;1747,0527065217393;92;0,0;2401,529;109,337;464,45551298803514;48,42283457313911
1230;19;R26;9,006802467969257;1928,244197674418;86;0,0;2673,705;46,339;684,2041973271157;73,77963603521549
1231;20;R26;9,523717727936132;2022,5616142857139;70;0,0;3389,046;68,741;982,8570551187954;117,47388711641354
1232;21;R26;10,004981727817375;2141,9409375;96;0,0;3561,129;10,047;1145,4814274154344;116,91020862511418
1233;22;R26;10,489889866085907;2088,0528105263156;95;0,0;3659,773;15,462;1324,3795228225988;135,87847203608527
1234;23;R26;10,998258461761354;2265,743042016807;119;0,0;3775,442;18,098;1404,1843802259125;128,72137109035845
1235;24;R26;11,512820849941601;2020,0361888111888;143;0,0;3789,294;2,927;1512,1251526419205;126,45025770275585
1236;25;R26;11,99597516534919;2067,482000000001;145;0,0;3788,917;3,642;1529,5416901089782;127,02152361140053
1237;26;R26;12,501058789760556;1949,2851298701294;154;0,0;3790,133;10,94;1532,8668021166773;123,52192699377669
1238;27;R26;13,00635829599693;1943,3565294117645;170;0,0;3789,871;11,116;1444,5121478549997;110,78902433695009
1239;28;R26;13,505556672042236;1891,2934727272732;165;0,0;3788,715;155,43;1451,294141769698;112,98309570355134
1240;29;R26;14,010628406242603;1646,966602484472;161;0,0;3790,68;11,253;1403,2918366499596;110,59488994542133
1241;30;R26;14,503624516756455;1827,6254615384605;182;0,0;3790,087;10,806;1424,6685833796305;105,60346138986901
