;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;7;BW 05;3,1249088357467802;-8,417600000000002;10;-0,02481950285337953;22,858;-53,401;25,069143810225704;7,927559343062514
1;8;BW 05;3,5307358582572728;51,22392592592595;27;0,10471141432630472;99,207;-5,12;31,399787698848595;6,042891960142446
2;9;BW 05;4,010076935920946;142,90019999999998;50;0,19938458172070422;292,741;44,126;52,30235356900436;7,396669776131882
3;10;BW 05;4,506566613493191;280,8016538461539;104;0,2760445175960826;387,508;134,439;54,31093917466677;5,325625743330321
4;11;BW 05;5,024880361592526;452,0773762376238;101;0,3205918262173188;581,165;227,064;69,3733019649276;6,902901546277069
5;12;BW 05;5,493331167284589;623,1253846153849;117;0,33820883561367593;851,928;416,127;91,81540765071145;8,488337440058173
6;13;BW 05;5,993081195888674;876,9245409836062;122;0,3665460879725653;1104,415;636,479;102,04144640503773;9,23839847753776
7;14;BW 05;6,486954030562532;1165,7585339805826;103;0,3842403702412805;1515,063;819,162;133,19276011155267;13,123872617742606
8;15;BW 05;6,976585340149885;1512,47579661017;59;0,4007527859342224;1850,559;1237,272;153,52400048355682;19,98712243237374
9;16;BW 05;7,466735348226061;1870,0761395348834;43;0,40418841691092405;2387,63;1532,186;167,76930691145955;25,584579449689553
10;17;BW 05;8,03564061058964;2450,064185185184;54;0,42484723563945553;3046,79;1766,288;253,49706305254688;34,496580876270784
11;18;BW 05;8,480897014921556;2899,751888888889;54;0,4277128726029961;3458,57;2414,013;274,63182279640864;37,37265738786946
12;19;BW 05;9,022396802734262;3539,589433333333;60;0,433614672836269;4199,974;3059,954;234,63263715768906;30,29094320628191
13;20;BW 05;9,493854332491264;4153,906901639345;61;0,43676307685797955;4962,63;3541,544;301,48485555843445;38,60118025272176
14;21;BW 05;9,976704127236786;4792,195886792453;53;0,4342003141334789;5632,157;4110,912;327,2901750358926;44,95676301779535
15;22;BW 05;10,52020414411198;5446,0621875;32;0,42084962425786104;5969,921;4806,631;283,94305166108376;50,194514325088626
16;23;BW 05;10,988253642724194;5985,6457599999985;25;0,4059212933034714;6301,855;5633,346;194,6384064691668;38,92768129383336
17;24;BW 05;11,443700205163074;6265,567818181819;33;0,3761645536098081;6380,486;5918,446;120,55822654361229;20,98649348288802
18;25;BW 05;12,038997985713191;6367,566428571428;7;0,32833660910638107;6379,217;6347,348;12,9067698625843;4,878300469363051
19;26;BW 05;12,490976771887112;6365,4782;10;0,2938723207089957;6384,894;6323,487;18,983725713240744;6,003181172974523
20;27;BW 05;12,805414236698498;6364,6982499999995;4;0,2727179808551177;6377,427;6353,217;10,896329821702956;5,448164910851478
21;28;BW 05;13,404920969617313;6370,9963333333335;3;0,2379750524301806;6383,789;6351,936;16,826055281418196;9,71452754612632
22;7;BW 06;3,0062457508339655;1,6386666666666656;6;0,005426677709695288;29,266;-22,317;18,510779288475852;7,55699399967415
23;8;BW 06;3,532326952271391;37,24704761904762;21;0,0760371829578744;103,779;-24,972;33,95116313688853;7,408751190789813
24;9;BW 06;4,032037347933679;149,89089655172413;58;0,2057398734093319;301,565;51,017;53,22222707573775;6,988420786165267
25;10;BW 06;4,524211469767169;280,40522;100;0,27244212219508396;400,833;133,698;58,52361481040253;5,852361481040253
26;11;BW 06;5,004562411453762;432,77483168316843;101;0,31065655140918397;622,424;294,776;62,96930308270361;6,265679840889461
27;12;BW 06;5,473757350406604;621,9824869565216;115;0,34122306688055193;834,536;409,727;75,87815989412688;7,075674894170065
28;13;BW 06;6,003004535546691;864,2046129032256;124;0,3594408357534732;1116,822;630,934;92,4325943291545;8,300692010803077
29;14;BW 06;6,491979416653505;1136,597666666667;90;0,37375947173960833;1430,835;847,788;124,4471810245869;13,117884680832713
30;15;BW 06;7,006842305353423;1485,9967941176467;68;0,3886580718828692;1801,99;1115,981;149,15337601080194;18,08750363852952
31;16;BW 06;7,462110351006599;1880,607738095238;42;0,4072209070575202;2403,742;1690,647;152,4937212879496;23,53029204291619
32;17;BW 06;8,021508400715657;2383,25324137931;58;0,4154501442376312;2863,445;2051,579;184,62741087716057;24,242766730406295
33;18;BW 06;8,49052549852336;2906,3024375000005;48;0,42722232985580455;3447,032;2575,415;219,9405853214181;31,74568903526115
34;19;BW 06;8,985935706048732;3416,8015064935066;77;0,42368850252575335;4109,167;2925,567;271,1155188343747;30,89648081351917
35;20;BW 06;9,488941157991365;4103,177725490196;51;0,4320996530099687;4857,151;3508,234;363,1818332070633;50,85562879206332
36;21;BW 06;9,996097866450603;4678,671684210526;38;0,4214518087275697;5258,782;4149,62;298,69854622888397;48,45530265894233
37;22;BW 06;10,56402326256449;5469,968314285713;35;0,4174587935730962;5903,122;4836,4;287,2125130688764;48,547775486286106
38;23;BW 06;11,014677656445784;5984,23456521739;23;0,40291188822763896;6353,023;5546,276;252,53655318493944;52,657511415350946
39;24;BW 06;11,500886057935313;6237,428249999998;28;0,3689168656593467;6380,187;5814,238;140,89470868823497;26,626597159568657
40;25;BW 06;11,991387324071416;6366,353428571429;7;0,3321997502053676;6380,551;6322,179;21,336649064127137;8,064495319305633
41;26;BW 06;12,455655304655124;6368,8865000000005;8;0,29653817856731085;6381,163;6351,214;11,597857178929761;4,100461729227158
42;27;BW 06;12,999826572572509;6369,0470000000005;9;0,2608426644982294;6381,071;6345,966;13,636677582901156;4,5455591943003855
43;7;BW 07;3,034363436811808;-3,6901428571428583;7;-0,011883852130737432;16,567;-46,154;22,92795420026662;8,66595212648347
44;8;BW 07;3,5284390775761407;49,05525;20;0,10047418065033695;122,396;0,283;35,76161824737596;7,996540938652952
45;9;BW 07;4,025181809205687;151,33481249999994;80;0,2087849494311071;251,464;46,433;50,81260973098371;5,681022473632344
46;10;BW 07;4,499960726572615;286,72618269230776;104;0,2831118398099119;432,547;109,463;57,58686346589894;5,646856548831194
47;11;BW 07;4,990666997042582;437,9706176470588;102;0,3170195520973238;619,26;293,22;69,24107881729638;6,855888406400027
48;12;BW 07;5,499640481626579;631,7550338983051;118;0,3417139122662141;836,929;437,384;79,71371747096968;7,338242500209282
49;13;BW 07;5,98315040533787;862,6934622641509;106;0,362396166966129;1164,08;683,201;109,49175608324946;10,634779472833017
50;14;BW 07;6,4800961153976635;1141,7267934782608;92;0,3775154239255846;1542,674;798,343;129,9335788850595;13,546512033778441
