;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;7;BW 05;3,126909936071781;-8,4176;10;0,0;22,858;-53,401;25,069143810225704;7,927559343062514
1;8;BW 05;3,532996950845016;51,22392592592593;27;0,0;99,207;-5,12;31,399787698848595;6,042891960142446
2;9;BW 05;4,012644997545833;142,9002;50;0,0;292,741;44,126;52,30235356900436;7,396669776131882
3;10;BW 05;4,509452669572537;280,8016538461539;104;0,0;387,508;134,439;54,31093917466676;5,32562574333032
4;11;BW 05;5,028098133101767;452,0773762376237;101;0,0;581,165;227,064;69,37330196492762;6,90290154627707
5;12;BW 05;5,494655652983541;621,152948275862;116;0,0;840,638;416,127;89,68961348037001;8,32747155310319
6;13;BW 05;5,990680601550913;874,8700826446279;121;0,0;1104,415;636,479;101,4115131528128;9,219228468437528
7;14;BW 05;6,486543955200981;1162,3863904761906;105;0,0;1515,063;819,162;134,1609046515884;13,092763663632633
8;15;BW 05;6,981052637537016;1512,475796610169;59;0,0;1850,559;1237,272;153,52400048355685;19,987122432373745
9;16;BW 05;7,4715164494820065;1870,0761395348832;43;0,0;2387,63;1532,186;167,76930691145947;25,584579449689542
10;17;BW 05;8,040786163389477;2450,064185185184;54;0,0;3046,79;1766,288;253,4970630525468;34,49658087627077
11;18;BW 05;8,486327930388168;2899,751888888889;54;0,0;3458,57;2414,013;274,63182279640864;37,37265738786946
12;19;BW 05;9,02439913969804;3530,5525762711873;59;0,0;4199,974;3059,954;225,8700667788058;29,405778017098694
13;20;BW 05;9,495916759659329;4152,598145161291;62;0,0;4962,63;3541,544;299,1809875516084;37,99602341509668
14;21;BW 05;9,977925868304753;4776,042788461539;52;0,0;5368,093;4110,912;308,4139694753507;42,76932234664472
15;22;BW 05;10,5112479134333;5446,118812500002;32;0,0;5969,921;4806,631;283,98116565425715;50,20125199084637
16;23;BW 05;10,986007720369129;5971,980346153844;26;0,0;6301,855;5630,345;203,0371316463943;39,81885754803353
17;24;BW 05;11,451028433653793;6265,567818181818;33;0,0;6380,486;5918,446;120,5582265436123;20,986493482888022
18;25;BW 05;12,046708831266196;6367,566428571429;7;0,0;6379,217;6347,348;12,906769862584389;4,878300469363085
19;26;BW 05;12,49897690912772;6365,4782;10;0,0;6384,894;6323,487;18,98372571324054;6,003181172974458
20;27;BW 05;12,81361544818658;6364,6982499999995;4;0,0;6377,427;6353,217;10,89632982170274;5,44816491085137
21;28;BW 05;13,413505434780346;6370,996333333333;3;0,0;6383,789;6351,936;16,82605528141798;9,714527546126195
22;7;BW 06;3,0081711835488645;1,6386666666666663;6;0,0;29,266;-22,317;18,510779288475852;7,55699399967415
23;8;BW 06;3,5345888532733234;37,24704761904762;21;0,0;103,779;-24,972;33,95116313688854;7,408751190789814
24;9;BW 06;4,034619407067199;149,89089655172413;58;0,0;301,565;51,017;53,22222707573775;6,988420786165267
25;10;BW 06;4,5248295921611845;280,0360303030303;99;0,0;400,833;133,698;58,704287933720785;5,9000029291254465
26;11;BW 06;5,005266738086517;431,6393431372548;102;0,0;622,424;294,776;63,69761753094628;6,30700394917344
27;12;BW 06;5,477262298934945;621,982486956522;115;0,0;834,536;409,727;75,87815989412685;7,075674894170063
28;13;BW 06;6,004840674080231;862,5450406504066;123;0,0;1116,822;630,934;90,93677944913324;8,199493270373283
29;14;BW 06;6,493473555414137;1135,8474945054943;91;0,0;1430,835;847,788;123,96061055498178;12,994602839557839
30;15;BW 06;7,011328892983969;1485,9967941176474;68;0,0;1801,99;1115,981;149,15337601080194;18,08750363852952
31;16;BW 06;7,466888377918128;1880,607738095238;42;0,0;2403,742;1690,647;152,49372128794943;23,530292042916166
32;17;BW 06;8,018496586034546;2376,3158035714287;56;0,0;2863,445;2051,579;183,9037382607266;24,575170739949616
33;18;BW 06;8,486315674816582;2893,1504000000014;50;0,0;3447,032;2529,113;225,2357346819424;31,853143071827102
34;19;BW 06;8,984708533624378;3406,233706666668;75;0,0;4109,167;2925,567;266,0766590031738;30,723886140111727
35;20;BW 06;9,47537276581012;4081,718862745098;51;0,0;4857,151;3508,234;363,55984906108773;50,908561599247044
36;21;BW 06;9,99009433089565;4662,752849999999;40;0,0;5258,782;4149,62;300,3186830387527;47,4845531152318
37;22;BW 06;10,565346760808662;5461,816705882354;34;0,0;5903,122;4836,4;287,3927185490298;49,28744461141786
38;23;BW 06;11,010650376560228;5974,354916666667;24;0,0;6353,023;5546,276;251,6832853364157;51,374635488460186
39;24;BW 06;11,508251124662246;6237,428249999998;28;0,0;6380,187;5814,238;140,8947086882346;26,62659715956859
40;25;BW 06;11,999067341694753;6366,353428571429;7;0,0;6380,551;6322,179;21,33664906412723;8,064495319305669
41;26;BW 06;12,463632858416716;6368,8865;8;0,0;6381,163;6351,214;11,597857178929722;4,100461729227144
42;27;BW 06;13,008152326046098;6369,0470000000005;9;0,0;6381,071;6345,966;13,636677582901322;4,5455591943004405
43;7;BW 07;3,0363067189699153;-3,6901428571428587;7;0,0;16,567;-46,154;22,92795420026662;8,66595212648347
44;8;BW 07;3,530698795263189;49,055249999999994;20;0,0;122,396;0,283;35,76161824737595;7,996540938652951
45;9;BW 07;4,027759469564901;151,3348125;80;0,0;251,464;46,433;50,8126097309837;5,681022473632343
46;10;BW 07;4,502842385819642;286,72618269230776;104;0,0;432,547;109,463;57,586863465898944;5,646856548831195
47;11;BW 07;4,991301790173173;436,8414752475246;101;0,0;619,26;293,22;68,63616847531543;6,8295540226457305
48;12;BW 07;5,50105588656063;631,0849411764704;119;0,0;836,929;437,384;79,71110861414803;7,307105346304201
49;13;BW 07;5,979266015609056;858,0864368932037;103;0,0;1164,08;683,201;107,59466035539835;10,601616902231694
50;14;BW 07;6,473976587898914;1137,202553191489;94;0,0;1542,674;798,343;130,13733315741902;13,422641035002092
51;15;BW 07;6,978525494498054;1493,2109193548386;62;0,0;1860,385;1095,946;152,77448250058407;19,402378679962556
52;16;BW 07;7,4898578770166875;1879,9231304347825;46;0,0;2213,817;1584,556;167,291316494924;24,6657589517396
53;17;BW 07;8,000947387310928;2376,1020392156865;51;0,0;2828,174;2016,861;196,8613112345806;27,566097343742268
54;18;BW 07;8,501981808915236;2912,38404477612;67;0,0;3469,502;2406,667;217,10018711913776;26,52300922999495
55;19;BW 07;8,96815635796651;3447,4913125000003;64;0,0;4026,434;2829,98;253,98982433366032;31,74872804170754
56;20;BW 07;9,447809159730978;4051,458819672132;61;0,0;4701,365;3466,665;279,3942921863598;35,772773442601405
57;21;BW 07;10,028213220955188;4845,437575757575;33;0,0;5565,347;4157,219;361,7317895673042;62,969422012536064
58;22;BW 07;10,513629893265547;5507,8026176470585;34;0,0;5986,521;4948,555;291,1242989064266;49,92740536305699
59;23;BW 07;11,024093926223038;6028,558958333334;24;0,0;6366,674;5575,703;251,62191997198764;51,362109335899454
60;24;BW 07;11,464162332134997;6309,002608695652;23;0,0;6380,813;6123,174;95,99444779149691;20,016226033976434
61;25;BW 07;11,953548375050648;6324,844375;8;0,0;6381,136;6081,735;101,45405776287917;35,86942611151178
62;26;BW 07;12,449316507301727;6374,316777777777;9;0,0;6381,492;6356,286;7,894874710496835;2,631624903498945
63;27;BW 07;12,901015860254502;6367,048666666667;3;0,0;6375,631;6354,329;11,237524030378935;6,487987523964167
64;28;BW 07;13,411763613869278;6358,0844;5;0,0;6383,254;6305,485;32,74247272733118;14,642878953949092
65;7;BW 08;3,1370456131428663;-0,1088333333333334;6;0,0;14,889;-13,709;12,380283315282679;5,0542294989224406
66;8;BW 08;3,570741339738681;48,78671428571427;28;0,0;107,003;-7,282;31,861389533830046;6,02123665224789
67;9;BW 08;4,031331662086935;140,18980597014928;67;0,0;249,19;-3,385;53,20191439544793;6,4996483203835895
68;10;BW 08;4,5213659959893455;272,1056442307692;104;0,0;418,004;134,462;54,906428913359775;5,384018316363781
69;11;BW 08;5,010592028304236;426,751717171717;99;0,0;585,542;302,182;65,81609473699724;6,6147664063365035
70;12;BW 08;5,51444976271076;617,9899541284401;109;0,0;865,806;450,788;83,68771702457245;8,015829511628514
71;13;BW 08;5,987383780508532;821,463739130435;92;0,0;1059,879;610,53;96,33897828687913;10,044032804172925
72;14;BW 08;6,498689293277588;1094,1301981132078;106;0,0;1383,68;876,87;119,03860007116697;11,56205093239249
73;15;BW 08;6,976271717774161;1411,3237656249999;64;0,0;1704,39;1124,293;141,27461480390534;17,659326850488167
74;16;BW 08;7,5336266605548605;1828,734584905661;53;0,0;2207,542;1552,847;157,30842039732423;21,607973339653913
75;17;BW 08;7,992549624967011;2252,8268275862065;58;0,0;2690,571;1889,659;180,00999334706898;23,636470105506017
76;18;BW 08;8,499434244562336;2764,7717962962965;54;0,0;3198,572;2427,078;199,2420100774746;27,11340333423759
77;19;BW 08;9,023514203087656;3282,9434920634917;63;0,0;3784,732;2869,774;228,54455655121066;28,793907625335287
78;20;BW 08;9,510786659859129;3958,749836363636;55;0,0;4801,105;3424,069;277,44239437929673;37,410324826398885
79;21;BW 08;9,967410876010732;4418,6303947368415;38;0,0;5118,803;3818,851;282,97117224737934;45,90398570100767
80;22;BW 08;10,53241436406587;5267,665000000002;27;0,0;5913,396;4664,382;360,7186820682802;69,42034273128287
81;23;BW 08;10,98788326023755;5865,9005;24;0,0;6277,196;5446,186;233,22475706363468;47,606804182539314
82;24;BW 08;11,463746461862725;6269,752999999999;20;0,0;6379,335;5901,042;120,05182633609326;26,8444044510504
83;25;BW 08;11,926730987296478;6285,911722222222;18;0,0;6380,006;5888,931;122,61798449839135;28,901336111413165
84;26;BW 08;12,535286373858602;6378,0498333333335;6;0,0;6381,805;6366,891;5,719649584255148;2,335037164824509
85;27;BW 08;12,9786378574012;6367,7835;8;0,0;6382,006;6350,263;12,345264135344406;4,364709992820555
86;28;BW 08;13,554932914477792;6366,868;5;0,0;6380,057;6346,186;15,042126229359928;6,727043354996278
87;7;BW 09;3,1061227296393823;-14,621875000000001;8;0,0;1,398;-35,729;13,91178709314515;4,918559495993212
88;8;BW 09;3,536227008200242;32,97916666666667;36;0,0;110,476;-25,925;35,44839332849132;5,908065554748553
89;9;BW 09;4,038637138697729;135,80783333333335;84;0,0;267,241;11,851;49,79424141037332;5,432997153236676
90;10;BW 09;4,517835944636842;267,3380108695654;92;0,0;409,676;155,665;54,675986717053355;5,700365666649392
91;11;BW 09;4,99297765730943;432,16971153846146;104;0,0;603,854;271,632;67,8917046922013;6,657329366088717
92;12;BW 09;5,522777079532243;642,6441862745099;102;0,0;862,107;454,275;80,62543824705274;7,983107958173686
93;13;BW 09;6,011811121743011;871,9519186991861;123;0,0;1130,643;672,291;108,2174867941523;9,757642178231098
94;14;BW 09;6,476631580639871;1137,7604868421056;76;0,0;1458,082;898,224;120,78636773361396;13,855146597583293
95;15;BW 09;6,962702495038618;1424,0969230769226;65;0,0;1914,168;1160,491;146,81550705363472;18,210222450977646
96;16;BW 09;7,506355178392552;1853,9980185185184;54;0,0;2252,867;1542,467;171,62058676192984;23,354603717987647
97;17;BW 09;7,987498068046869;2287,6513478260867;46;0,0;2658,425;1964,432;196,3752731311735;28,95395441091243
98;18;BW 09;8,50775558171056;2816,5577199999993;50;0,0;3300,837;2446,056;215,9438323945997;30,53906964832654
99;19;BW 09;8,996179731152937;3379,797242857142;70;0,0;4237,289;2901,677;307,51640211523153;36,755240164770434
100;20;BW 09;9,500514306971217;4006,0426041666665;48;0,0;4785,193;3174,789;310,28835735295877;44,78626666103439
101;21;BW 09;9,995325647559374;4617,8403333333345;39;0,0;5285,596;4080,639;304,95859130944086;48,83245621338085
