;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
175;42;BW 09;20,487255841257603;6354,6956666666665;6;0,06649059719708245;6378,193;6343,057;16,699574337888535;6,8175726749171925
176;43;BW 09;20,982037784512446;6368,418666666667;3;0,06203052573972649;6379,24;6348,385;17,36830649007899;10,027596427415029
177;44;BW 09;21,487350901721044;6341,918666666667;3;0,057516028358795254;6343,876;6339,864;2,0077702391794143;1,1591866880611543
178;7;BW 10;3,1919637980460145;-3,4958571428571434;7;-0,00967156278274402;22,381;-34,968;19,389527787172227;7,328552651976318
179;8;BW 10;3,5392351459062343;43,58256944444443;72;0,08845073100399889;101,509;-31,693;30,83773131021974;3,634261487644183
180;9;BW 10;4,003586033003586;138,70288392857142;112;0,19447099860893893;267,169;21,795;50,10514651143485;4,734491324061148
181;10;BW 10;4,507531172299299;271,0311727748692;191;0,2662685526446735;401,044;82,501;62,06763551453145;4,491056486886099
182;11;BW 10;4,9877627254574515;438,3451626506021;166;0,3178452400736279;627,435;310,376;64,25964116229348;4,987515426981439
183;12;BW 10;5,5086998792898605;642,4223956043952;182;0,34577228974474467;924,952;449,262;85,11767961593966;6,309342185109382
184;13;BW 10;6,003012076773822;877,7115376344088;186;0,36505727341919497;1208,71;598,651;109,7186282764515;8,044960150420945
185;14;BW 10;6,478379491371934;1146,3866055555557;180;0,37935760872060165;1566,682;836,414;135,33017297100866;10,086915538999335
186;15;BW 10;7,008450975413374;1513,1850714285717;154;0,39549662197367075;1935,174;1167,765;147,9528614260137;11,922381333034672
187;16;BW 10;7,497977607973076;1882,3978601398592;143;0,4017869741110794;2324,591;1562,231;166,02546555644352;13,883746902928335
188;17;BW 10;7,994472131908097;2322,1920273972614;146;0,40892682501556826;2913,676;1842,09;222,1384500023211;18,384308930692363
189;18;BW 10;8,488311031186798;2844,5478428571423;140;0,4184718395889165;3775,518;2390,161;264,0105014786555;22,3129598617695
190;19;BW 10;8,985014041187595;3370,8466944444435;144;0,4181186799807425;4162,784;2796,529;273,9475785887387;22,82896488239489
191;20;BW 10;9,501758282269094;4027,392950413224;121;0,4224048742178059;4878,641;3287,284;345,7397194373211;31,43088358521101
192;21;BW 10;10,037669871649287;4731,520060975609;82;0,42093865708485917;5545,624;3826,597;322,1328816613046;35,57362572074582
193;22;BW 10;10,480726664274476;5297,152270833335;96;0,4139854928576336;6180,389;4584,912;358,14863543269956;36,55339203684123
194;23;BW 10;10,966910456997459;5832,385121951218;82;0,39784156123647946;6357,113;5152,166;301,10795991423623;33,251811526612826
195;24;BW 10;11,495768521788797;6257,780011494249;87;0,3706151006305548;6381,937;5686,006;148,05655299183957;15,87332863274274
196;25;BW 10;12,005769615251165;6351,755268656715;67;0,3302482999171784;6383,975;6078,403;59,37301471834579;7,253568217899037
197;26;BW 10;12,488481009912398;6370,944580645162;62;0,2943010581664948;6382,783;6338,505;12,666057466934515;1,6085909068923945
