;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density
411;15,35;9,73;3233,453;5,61;15,52;1,2488906636466803
412;14,91;9,72;3231,604;5,72;14,89;1,248408353111132
413;14,5;9,73;3234,093;5,44;13,96;1,249636660015183
414;13,48;9,73;3231,679;5,25;12,71;1,2504712928660113
415;14,8;9,73;3232,079;5,49;14,87;1,249417172784218
416;14,5;9,73;3232,927;5,51;14,37;1,24932939574743
417;14,83;9,73;3233,046;5,45;14,81;1,2495927574678087
418;14,47;9,72;3231,713;5,49;14,14;1,249417172784218
419;13,68;9,73;3233,003;5,68;13,33;1,2485837030221056
420;14,82;9,73;3233,187;5,54;14,65;1,2491977493258453
421;15,7;9,73;3232,96;5,35;15,75;1,2500318976959477
422;15,51;9,72;3232,018;5,32;15,69;1,2501636894829744
423;15,18;9,72;3232,181;5,35;15,06;1,2500318976959477
424;14,45;9,72;3231,997;5,3;14,3;1,2502515634199909
425;15,58;9,73;3231,676;5,27;15,43;1,2503833934418394
426;15,84;9,72;3233,553;5,26;15,9;1,2504273418797047
427;15,54;9,73;3233,554;5,23;15,66;1,2505592024835084
428;15,23;9,72;3230,296;5,29;15,19;1,2502955042118729
429;15,28;9,73;3232,502;5,29;15,2;1,2502955042118729
430;15,32;9,72;3230,673;5,22;15,21;1,2506031611144774
431;15,22;9,72;3231,431;5,2;14,92;1,2506910860203033
432;14,99;9,72;3233,072;5,1;14,77;1,2511308633980702
433;14,1;9,72;3231,632;5,24;13,71;1,2505152464006495
434;15,02;9,76;3268,71;5,25;14,69;1,2504712928660113
435;15,35;9,82;3339,808;5,19;15,14;1,2507350522949368
