;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density;Corrected Wind Speed;Power Coefficient;Lower Limit Filter;Bin;Active Power Filter
1369;5,9;6,54;803,258;4,07;0,15;1,2553558961050701;5,948337534547368;0,34338798583021973;True;13,0;True
1370;5,74;6,76;743,369;4,47;0,63;1,253496794243142;5,784168535869704;0,34561969274786875;True;13,0;True
1371;5,86;6,51;782,639;4,49;0,15;1,2534039462033182;5,904946117169238;0,34200347456390895;True;13,0;True
1372;5,8;6,52;771,219;4,54;0,26;1,2531718704949488;5,844125181178719;0,3476450422405088;True;13,0;True
1373;6,06;6,75;997,957;3,62;0,06;1,2574523035454694;6,11304746924623;0,3930568541219861;True;13,0;True
1374;5,96;6,67;882,929;4,58;0,18;1,2529862555359899;6,005045916903615;0,3668543166655941;True;13,0;True
1375;5,78;6,54;760,875;6,27;0,27;1,2451803745288554;5,811566761565869;0,3487791145741699;True;13,0;True
1376;5,83;6,54;766,518;4,61;0,24;1,252847070888306;5,873845862110216;0,34030753868592645;True;13,0;True
1377;5,96;6,95;978,527;4,38;0,42;1,2539147361928173;6,006528825522192;0,4062739404103103;True;13,0;True
1378;6,15;0,0;-10,242;3,51;91,55;1,2579655583058948;6,204679262029941;-0,003857834670632576;False;13,0;True
1379;5,76;6,49;785,344;7,72;0,09;1,2385376689356409;5,781140538351338;0,3657094632413382;True;13,0;True
1380;5,91;6,66;949,471;8,19;0,01;1,2363948942393268;5,928268323171056;0,4100293996184063;True;13,0;True
1381;6,16;6,85;1060,203;8,23;0,0;1,2362127593332213;6,178737665841764;0,40439577441382996;True;13,0;True
1382;6,2;6,93;1104,415;8,28;0,0;1,2359851408269333;6,218477631681213;0,413234827502532;True;13,0;True
1383;5,85;6,65;796,779;3,59;0,41;1,2575922508155128;5,901428106130467;0,34880553412107745;True;13,0;True
1384;6,05;6,61;869,442;3,19;0,12;1,259460464656796;6,106207029065117;0,3435918793935276;True;13,0;True
1385;5,74;6,54;775,457;3,83;0,27;1,2564733279152087;5,788743248487412;0,3596844875156228;True;13,0;True
1386;5,92;6,61;860,681;3,15;0,09;1,2596475173483206;5,975295058617983;0,36297858138706524;True;13,0;True
1387;6,0;6,72;982,602;3,13;0,0;1,2597410595349088;6,056192193883783;0,3980114318163834;True;13,0;True
1388;5,95;6,51;828,326;3,23;0,05;1,2592734541670607;6,004980742106306;0,34417814240443084;True;13,0;True
1389;6,03;6,67;928,867;3,14;0,07;1,2596942871209147;6,086397826524595;0,37067165415329223;True;13,0;True
1390;6,08;6,87;1034,607;3,16;0,09;1,2596007502163689;6,136713571537818;0,4027955857093676;True;13,0;True
1391;5,75;6,72;860,336;3,3;0,29;1,258946287212068;5,802630043272068;0,39619619369860076;True;13,0;True
1392;5,76;6,7;835,539;3,79;0,34;1,2566597112297984;5,8092002997901;0,3834727628057348;True;13,0;True
1393;5,77;5,66;660,66;3,63;7,46;1,2574056596661605;5,820436924530165;0,30145889378555024;False;13,0;False
1394;6,11;6,63;885,45;7,9;0,07;1,2377164436155428;6,131069430515804;0,34567835705054717;True;13,0;True
1395;5,78;6,69;828,97;3,37;0,69;1,25861924909091;5,832399517309815;0,3759359579597364;True;13,0;True
1396;6,18;6,77;942,688;7,98;0,15;1,237351689594827;6,200701581565766;0,35576427588068127;True;13,0;True
1397;5,88;6,85;890,787;2,5;0,44;1,262693079617166;5,939700723482001;0,3824696956997537;True;13,0;True
1398;6,19;6,91;1089,139;3,39;0,04;1,258525833254575;6,245961903498309;0,40216305041537176;True;13,0;True
1399;5,84;6,82;889,651;2,66;0,49;1,2619423563985077;5,8981252395253945;0,3901167080954008;True;13,0;True
1400;6,01;6,83;993,252;3,16;0,13;1,2596007502163689;6,066060619233928;0,40036495911025743;True;13,0;True
1401;5,8;6,62;829,989;3,16;0,26;1,2596007502163689;5,85410176232226;0,37222743851007345;True;13,0;True
1402;5,71;6,48;678,929;2,12;0,26;1,2644788122537178;5,770692473486712;0,31787576377564697;True;13,0;True
1403;6,05;6,68;802,088;2,0;0,38;1,26504354119896;6,11521648751334;0,31557555868204107;True;13,0;True
1404;5,96;6,82;918,628;2,07;0,33;1,2647140683484563;6,02372328677995;0,37814772182646333;True;13,0;True
1405;6,04;6,63;880,708;2,07;0,17;1,2647140683484563;6,104578632911225;0,3483226488183135;True;13,0;True
1406;5,82;6,61;827,004;2,14;0,28;1,2643847288446903;5,881715797128033;0,36568938387939565;True;13,0;True
1407;5,91;6,57;851,712;2,18;0,11;1,2641965946150424;5,972373915781519;0,3597233637476412;True;13,0;True
1408;6,05;6,57;875,223;2,21;0,07;1,2640555224343701;6,113624046337124;0,3446191334721414;True;13,0;True
1409;5,83;6,67;925,906;8,2;0,02;1,2363493571675466;5,847949240116837;0,41655558833954065;True;13,0;True
1410;6,0;6,85;1059,441;8,16;0,0;1,236531518847909;6,018768200774484;0,4371905564070824;True;13,0;True
1411;5,88;6,65;943,129;8,1;0,0;1,2368048284132014;5,89882737708392;0,4134194331735347;True;13,0;True
1412;5,92;6,68;971,213;8,11;0,0;1,2367592712253834;5,938882533938165;0,4171739009786848;True;13,0;True
1413;5,86;6,59;909,541;8,11;0,0;1,2367592712253834;5,878691156905009;0,4028071737736009;True;13,0;True
1414;6,02;6,66;955,424;7,76;0,01;1,2383551109706603;6,041797919963213;0,3897753858739256;True;13,0;True
1415;5,78;6,62;915,871;7,74;0,01;1,2384463854118541;5,801071417859095;0,42211085539120036;True;13,0;True
1416;6,13;6,6;915,396;7,76;0,01;1,2383551109706603;6,152196220826329;0,35370021539867663;True;13,0;True
1417;6,13;6,86;1061,951;7,74;0,05;1,2384463854118541;6,152347368767518;0,41029741721685226;True;13,0;True
1418;6,07;6,72;976,255;7,69;0,05;1,2386746112662463;6,092502838619296;0,38841223368798233;True;13,0;True
1419;5,75;6,53;848,909;7,64;0,05;1,2389028939943858;5,7716710491866605;0,3972585698972792;True;13,0;True
1420;5,95;6,61;856,849;3,15;0,17;1,2596475173483206;6,005575270063683;0,35592402201916357;True;13,0;True
1421;6,07;6,89;1036,921;3,16;0,1;1,2596007502163689;6,126620292637263;0,4056949713259023;True;13,0;True
1422;5,76;6,57;775,497;2,41;0,33;1,2631156637975325;5,819131357452588;0,35409719738125905;True;13,0;True
1423;5,71;6,78;757,733;2,58;0,7;1,2623176321356886;5,767402944845501;0,35537933205956257;True;13,0;True
1424;5,9;7,04;1009,442;2,74;0,41;1,2615672520228955;5,95813196063302;0,42940576130097524;True;13,0;True
1425;6,1;6,69;931,581;4,95;0,07;1,251271229872194;6,143298600938335;0,3615202233507541;True;13,0;True
1426;5,73;6,58;685,275;5,05;0,58;1,2508082988652578;5,769960548815152;0,3209690869157729;True;13,0;True
1427;5,74;6,49;753,69;6,43;0,12;1,24444496139168;5,770211881764656;0,3529671762992269;True;13,0;True
1428;5,89;7,24;1042,469;4,85;0,5;1,2517344109933737;5,932539825778977;0,4492188914524017;True;13,0;True
1429;5,71;6,68;889,523;4,25;0,15;1,2545187943515135;5,755501030518308;0,4197827841228137;True;13,0;True
1430;5,77;6,59;914,219;6,42;0,01;1,244490906818457;5,800441166730752;0,4214868350224173;True;13,0;True
1431;6,05;6,75;967,085;6,39;0,06;1,2446287573943944;6,082142934729855;0,38673335472195614;True;13,0;True
1432;6,01;6,84;944,784;6,16;0,25;1,2456863264294384;6,043641223994844;0,3850821207400287;True;13,0;True
1433;6,12;0,0;-8,973;6,4;91,31;1,2445828048189873;6,152439117120074;-0,003466670327946333;False;13,0;True
1434;6,17;0,0;-7,908;6,93;91,59;1,2421507088118593;6,198661178933904;-0,0029873755033188697;False;13,0;True
1435;6,02;7,01;1025,56;3,23;0,37;1,2592734541670607;6,075627574366379;0,411438084975075;True;13,0;True
1436;5,73;1,44;87,774;6,76;67,35;1,2429300932089802;5,757821009942197;0,041372166111502226;False;13,0;False
1437;5,99;0,0;-7,962;5,9;91,58;1,2468833707834206;6,025458095631772;-0,003274679578957275;False;13,0;True
1438;6,17;6,89;1005,252;3,3;0,18;1,258946287212068;6,2264743246936805;0,3746840369154155;True;13,0;True
1439;6,19;6,81;997,524;3,83;0,1;1,2564733279152087;6,242564583299143;0,36893603057888597;True;13,0;True
1440;5,96;6,54;756,361;7,27;0,16;1,240593964250379;5,985183244681203;0,31740489683825535;True;13,0;True
