;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density;Corrected Wind Speed;Power Coefficient;Lower Limit Filter;Bin;Active Power Filter
0;0,72;0,0;-19,011;7,96;45,0;1,2374428645832378;0,7224295780903088;-4,53664979342499;False;2,0;True
1;1,24;0,05;-21,184;7,46;45,0;1,2397251843883768;1,2449487214421384;-0,987803195872295;False;3,0;True
2;1,08;0,0;-22,472;8,15;45,0;1,2365770648514276;1,083391577578204;-1,5900186225916118;False;3,0;True
3;1,1;0,0;-21,615;8,01;45,0;1,2372149439843267;1,1036440882160174;-1,4467216001767405;False;3,0;True
4;1,06;0,0;-21,018;8,17;45,0;1,2364859750786346;1,0633026606741582;-1,5730319206399002;False;3,0;True
5;0,88;0,0;-20,503;8,32;45,0;1,2358030860547147;0,8825792940842697;-2,6833236490250423;False;3,0;True
6;0,83;0,0;-19,144;7,99;45,0;1,2373061054759127;0,8327700828119827;-2,9824570003238464;False;3,0;True
7;1,13;0,0;-22,043;7,8;45,0;1,2381725893084847;1,1340359153261725;-1,3599004680263258;False;3,0;True
8;1,66;0,04;-21,294;7,76;45,0;1,2383551109706603;1,666010722116102;-0,4143246031946964;False;4,0;True
9;1,51;0,0;-18,742;7,89;45,0;1,2377620480148046;1,515225620809128;-0,48473108115131147;False;4,0;True
10;1,49;0,0;-19,43;7,68;45,01;1,238720263258536;1,4955421335859957;-0,5226292254459023;False;4,0;True
11;1,47;0,0;-18,677;7,99;45,0;1,2373061054759127;1,4749060502814635;-0,5237582743120215;False;4,0;True
12;1,43;0,0;-20,601;7,89;45,0;1,2377620480148046;1,434948766726525;-0,6273298686442658;False;4,0;True
13;1,3;0,0;-19,98;8,1;45,0;1,2368048284132014;1,3041625153416831;-0,8104331429467407;False;4,0;True
14;1,87;0,36;-21,187;7,73;45,0;1,2384920260379926;1,8768402786717437;-0,2883396524459657;False;5,0;True
15;2,05;0,5;-22,179;7,7;45,0;1,2386289615489074;2,0575745284459472;-0,22908259059623945;False;5,0;True
16;2,16;0,13;-21,119;7,79;45,0;1,238218216323657;2,1677412966461307;-0,18653822769431277;False;5,0;True
17;2,02;3,52;-27,661;7,12;2,42;1,241280432059313;2,0289093470198325;-0,2979866430112109;False;5,0;True
18;1,84;0,36;-21,244;7,7;45,0;1,2386289615489074;1,8467986011417288;-0,30345516348294604;False;5,0;True
19;2,72;0,56;-21,153;7,92;45,01;1,2376252415866635;2,7293124769363093;-0,0936114640285488;False;6,0;True
20;2,66;0,04;-9,914;7,83;45,01;1,2380357218523785;2,6694021075290326;-0,046894700577681483;False;6,0;True
21;2,66;0,4;-22,677;7,5;45,01;1,2395423891149293;2,670484540038907;-0,10713521499644073;False;6,0;True
22;2,7;0,8;-22,339;7,8;38,74;1,2381725893084847;2,7096433375050144;-0,10102856600925017;False;6,0;True
23;2,55;1,92;-22,125;8,26;35,86;1,2360761815520593;2,557662465811814;-0,11897903400879493;False;6,0;True
24;2,54;0,57;-7,726;8,19;45,01;1,2363948942393268;2,547851360550674;-0,04202902249899937;False;6,0;True
25;2,63;0,28;-10,532;4,86;45,0;1,2516880816035107;2,6489621807101744;-0,050980069877330114;False;6,0;True
26;2,54;6,48;-35,662;7,9;1,5;1,2377164436155428;2,5487588139951134;-0,19379221357619789;True;6,0;True
27;2,69;2,68;-24,208;7,84;28,89;1,2379901038939365;2,699474989628769;-0,11072299787656405;False;6,0;True
28;2,96;4,39;-7,975;4,73;17,61;1,2522905596053193;2,9818197277426797;-0,02706471076876483;False;7,0;True
29;3,09;6,48;-37,396;5,28;1,51;1,249744502406244;3,110667044722726;-0,11178445564112512;True;7,0;True
30;2,86;0,05;-23,628;7,44;45,01;1,23981659578961;2,871484559591996;-0,08978925245312173;False;7,0;True
31;2,96;0,79;-7,658;7,85;45,01;1,2379444881975181;2,9703895271019567;-0,026290085391519655;False;7,0;True
32;2,76;1,47;-19,297;7,99;39,73;1,2373061054759127;2,7692113597121355;-0,0817595199993052;False;7,0;True
33;3,0;4,44;-35,567;4,84;17,21;1,2517807428923062;3,0217044248916034;-0,11598668684106862;False;7,0;True
34;3,12;0,48;-11,256;4,94;44,86;1,2513175367160774;3,142184930528354;-0,03264417592731223;False;7,0;True
35;3,17;6,48;16,075;8,14;1,51;1,2366226130900622;3,1799939514052618;0,04497684105526763;True;7,0;
36;3,03;0,81;-7,633;7,9;45,01;1,2377164436155428;3,040448506458737;-0,02443425795780041;False;7,0;True
37;3,03;0,64;-20,309;6,02;44,46;1,2463306859640222;3,047485829813833;-0,06456249490027595;False;7,0;True
38;3,16;5,45;17,684;5,8;9,75;1,2473442081285533;3,1790973325039023;0,0495205981711461;False;7,0;False
39;3,14;6,47;10,282;6,42;1,69;1,244490906818457;3,15656590355885;0,029413714050033922;True;7,0;
40;2,94;0,74;-21,343;7,25;39,38;1,2406854631883792;2,9524951899523524;-0,07461131903075512;False;7,0;True
41;3,05;1,53;-23,68;5,46;36,67;1,2489128797510634;3,0697183094927514;-0,07365512552908554;False;7,0;True
42;2,82;0,79;-10,699;6,61;44,87;1,2436183500956004;2,8342149592742936;-0,042282599483381735;False;7,0;True
43;3,22;6,48;22,858;6,36;1,51;1,2447666294311028;3,237227003605303;0,06062274743174122;True;7,0;
44;3,09;6,48;7,229;6,3;1,51;1,2450424379760532;3,1067609292383307;0,02169060022459311;True;7,0;
45;2,83;0,66;-19,323;8,07;45,01;1,2369415134169828;2,8391660577771534;-0,0759659582414661;False;7,0;True
46;2,93;0,49;-10,048;7,86;45,01;1,2378988747622603;2,9402481147213386;-0,03556677893428863;False;7,0;True
47;3,62;6,48;63,075;8,15;1,51;1,2365770648514276;3,631368065586202;0,1185122650899585;True;8,0;
48;3,27;5,14;39,278;7,64;12,0;1,2389028939943858;3,2823242314505006;0,09993595771624414;False;8,0;False
49;3,61;6,48;93,146;7,88;1,51;1,2378076546717682;3,622537531465211;0,17629596734214312;True;8,0;
50;3,38;6,48;53,629;6,76;1,51;1,2429300932089802;3,396410997138678;0,12315607329491532;True;8,0;
51;3,65;6,48;99,207;7,15;1,51;1,241143096765376;3,665963361856772;0,18117355485227668;True;8,0;
52;3,58;6,48;52,813;7,94;1,51;1,2375340485782051;3,592168630405417;0,10251502921398284;True;8,0;
53;3,71;6,47;94,586;4,51;1,51;1,2533111083131885;3,7383633445405664;0,1628917842399896;True;8,0;
54;3,56;6,48;31,523;6,2;1,51;1,2455023103289524;3,579750960015716;0,061828106881320496;True;8,0;
55;3,25;6,48;1,94;7,93;1,51;1,2375796439553146;3,2610869902355932;0,005033052123108502;True;8,0;
56;3,3;6,48;34,605;7,19;1,51;1,2409600155300655;3,314269649668495;0,08552482296072714;True;8,0;
57;3,45;6,48;95,404;7,17;1,5;1,2410515515091203;3,465003461380398;0,2063347685094597;True;8,0;
58;3,5;6,48;88,963;7,24;1,51;1,2407312161257402;3,5149184317901034;0,18432341839759472;True;8,0;
59;3,41;6,48;63,059;7,5;1,51;1,2395423891149293;3,4234407073431097;0,14140849420449159;True;8,0;
60;3,4;6,48;11,182;7,93;1,51;1,2375796439553146;3,411598697477236;0,025337427431492206;True;8,0;
61;3,58;6,48;65,137;7,59;1,52;1,2391312337036566;3,5937133399109267;0,126274107309327;True;8,0;
62;3,43;6,48;42,459;4,7;1,51;1,2524296533724173;3,4554122697885963;0,09259488527921843;True;8,0;
63;3,28;0,76;-22,414;8,19;42,67;1,2363948942393268;3,290138764805594;-0,05662309080769843;False;8,0;True
64;3,41;6,48;55,382;4,43;1,51;1,2536825207969438;3,4364091998199395;0,12279222415298632;True;8,0;
65;3,5;5,48;35,154;4,9;9,64;1,2515027891189199;3,5250608810412807;0,07220906672324084;False;8,0;False
66;3,36;6,48;25,535;7,69;1,51;1,2386746112662463;3,372456266517436;0,05989819458492476;True;8,0;
67;3,42;2,19;-2,796;7,82;30,37;1,2380813420737085;3,432130579645154;-0,006222467092179188;False;8,0;True
68;3,69;6,48;92,65;7,72;1,5;1,2385376689356409;3,7035431573813264;0,1641005527109358;True;8,0;
69;3,61;5,91;62,342;6,0;3,62;1,2464227759129405;3,6309223761814;0,11717816352032759;False;8,0;
70;3,63;6,48;36,89;4,36;1,51;1,254007640167924;3,658429213146134;0,06778623861401964;True;8,0;
71;3,62;4,44;142,484;4,61;17,01;1,252847070888306;3,6472250464560863;0,2642379939273614;False;8,0;False
72;3,66;6,48;55,31;4,48;1,51;1,2534503689541268;3,6881176798340034;0,09919874966323591;True;8,0;
73;3,98;6,48;160,438;7,83;1,46;1,2380357218523785;3,9940678150246427;0,2265571567989439;True;9,0;
74;3,74;6,48;112,201;7,23;1,52;1,2407769713764722;3,7559875794992315;0,1905202466061576;True;9,0;
75;3,85;6,48;65,427;5,24;1,51;1,249929416168855;3,8759413455453684;0,10109793109306495;True;9,0;
76;4,18;6,48;216,681;8,2;1,51;1,2363493571675466;4,192869266498865;0,2644866263046101;True;9,0;
77;3,84;5,68;68,429;5,18;5,03;1,2502068611698878;3,866159978392682;0,1065411991826415;False;9,0;False
78;4,11;6,48;149,45;7,81;1,51;1,2381269645587896;4,1246286393346105;0,19162766608287554;True;9,0;
79;4,18;6,48;232,116;7,21;1,49;1,2408684888214416;4,1979716777067075;0,2822951487936616;True;9,0;
80;4,04;6,48;161,52;4,57;1,48;1,2530326554782247;4,07058472594486;0,21546302837902373;True;9,0;
81;3,99;6,48;150,077;6,26;1,51;1,2452263581675562;4,011840279560808;0,209122174453672;True;9,0;
82;4,19;6,48;130,067;4,18;1,51;1,2548442352600426;4,223753843919091;0,1553059780626041;True;9,0;
83;4,09;6,48;143,872;4,6;1,5;1,2528934632418163;4,120810652711816;0,18498867932641694;True;9,0;
84;3,92;6,48;94,877;4,73;1,51;1,2522905596053193;3,948896396199765;0,13862787771471985;True;9,0;
85;3,82;6,48;110,713;7,66;1,52;1,238811574071404;3,8343029005611626;0,17670800119337554;True;9,0;
86;3,99;6,48;131,692;4,59;1,51;1,2529398581241158;4,020106956568694;0,1823742082909641;True;9,0;
87;4,16;6,48;175,161;6,33;1,51;1,2449045229508926;4,182410433794205;0,21541419467290243;True;9,0;
88;3,95;6,48;146,672;7,76;1,52;1,2383551109706603;3,964302621902773;0,2118183909306919;True;9,0;
89;4,02;6,48;179,074;8,19;1,51;1,2363948942393268;4,032426169060515;0,2457254340145735;True;9,0;
90;3,93;6,48;151,879;4,24;1,51;1,254565278235121;3,961365747183925;0,21982635185281896;True;9,0;
91;4,22;6,48;175,532;7,95;1,5;1,2374884554544685;4,2342920269341535;0,20803228082505393;True;9,0;
92;3,74;6,48;79,043;7,9;1,51;1,2377164436155428;3,7528968363550095;0,13454897267918822;True;9,0;
93;4,04;6,48;168,862;7,92;1,51;1,2376252415866635;4,0538317672142234;0,22806130943165542;True;9,0;
94;3,77;6,48;103,394;5,97;1,49;1,2465609289627622;3,791989774286567;0,17061244796836203;True;9,0;
95;4,19;6,48;198,263;8,0;1,5;1,2372605236060352;4,203932287021977;0,24009957232281476;True;9,0;
96;4,17;6,48;208,213;5,97;1,46;1,2465609289627622;4,194322906836866;0,2538862053101852;True;9,0;
97;3,79;6,48;50,716;8,27;1,51;1,2360306600771815;3,801341861957211;0,08307130977653979;True;9,0;
98;4,04;6,48;191,741;5,94;1,46;1,2466991037839226;4,06371477490718;0,25707638476417455;True;9,0;
99;4,11;6,48;213,682;5,77;1,47;1,247482506736378;4,134991429518134;0,2719323954427616;True;9,0;
