;Identifier;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density;Corrected Wind Speed;Power Coefficient;Lower Limit Filter;Bin;Active Power Filter
2329;BW 05;5,16;6,48;544,554;7,66;0,72;1,238811574071404;5,17932014840199;0,3526464625621466;True;11,0;
2330;BW 05;4,77;6,48;278,94;4,69;1,23;1,252476023002233;4,805399398459188;0,2261721764349232;True;11,0;
2331;BW 05;4,93;6,48;446,896;4,72;1,02;1,2523369216747486;4,966402928043174;0,32824450411110534;True;11,0;
2332;BW 09;4,75;6,47;357,96;4,05;1,17;1,2554489587314634;4,7890341468315425;0,2932294245690726;True;11,0;
2333;BW 05;5,07;6,48;427,511;8,06;1,12;1,2369870795679203;5,086483627328874;0,29228813807333653;True;11,0;
2334;BW 06;5,04;6,5;448,381;4,85;1,09;1,2517344109933737;5,076400801685237;0,30838719648518614;True;11,0;
2335;BW 06;4,87;6,48;400,161;4,23;1,1;1,2546117646756827;4,90892861699574;0,3043627215286928;True;11,0;
2336;BW 09;4,76;6,48;407,127;3,19;1,04;1,259460464656796;4,804222389809911;0,33035238459768296;True;11,0;
2337;BW 08;4,97;6,48;421,435;3,16;1,16;1,2596007502163689;5,016359613576144;0,3003872273965048;True;11,0;
2338;BW 08;4,93;6,47;327,439;3,61;1,32;1,2574989500296203;4,973217273448995;0,23951623415891898;True;11,0;
2339;BW 05;5,08;6,48;493,825;7,45;0,9;1,2397708889412395;5,100336470247278;0,33488326056990564;True;11,0;
2340;BW 08;5,04;6,48;393,648;3,83;1,17;1,2564733279152087;5,082798949891386;0,26972183422572743;True;11,0;
2341;BW 05;5,22;6,48;577,018;7,21;0,62;1,2408684888214416;5,242443099911247;0,360333827222128;True;11,0;
2342;BW 08;5,03;6,48;432,143;3,74;1,11;1,2568927486940213;5,073278405961576;0,2977681516274979;True;11,0;
2343;BW 09;4,79;6,5;331,062;2,77;1,14;1,2614266319829528;4,83701553777375;0,26320475852458486;True;11,0;
2344;BW 09;4,71;6,47;349,694;2,72;1,2;1,2616610120726095;4,756524869364585;0,2923719572998434;True;11,0;
2345;BW 05;5,04;6,48;513,895;7,19;0,84;1,2409600155300655;5,061793646766429;0,356515103186738;True;11,0;
2346;BW 05;4,98;6,48;474,613;7,5;0,91;1,2395423891149293;4,9996289508999086;0,34169856640650753;True;11,0;
2347;BW 05;4,89;6,48;441,989;7,13;1,04;1,2412346513055996;4,911507293340552;0,3356478972803613;True;11,0;
2348;BW 09;5,12;6,53;515,435;2,91;0,88;1,2607707224470326;5,169358315365818;0,3357228071761648;True;11,0;
2349;BW 09;4,94;6,48;475,034;2,84;0,85;1,2610986119463274;4,988055402787714;0,34438778471347586;True;11,0;
2350;BW 05;4,84;6,47;383,076;4,38;1,1;1,2539147361928173;4,877785153611981;0,2969845052005502;True;11,0;
2351;BW 08;4,87;6,47;407,315;3,46;1,01;1,2581989603934385;4,913602714047434;0,30892078993920674;True;11,0;
2352;BW 08;5,02;6,48;378,968;3,5;1,25;1,2580122334938302;5,0646951414242345;0,26245778682439674;True;11,0;
2353;BW 08;4,87;6,47;339,672;3,55;1,28;1,2577788836790984;4,913055815953444;0,2577042042993434;True;11,0;
2354;BW 09;4,87;6,48;424,253;3,15;0,95;1,2596475173483206;4,91548765801851;0,3213970910913656;True;11,0;
2355;BW 08;4,81;6,48;355,21;3,59;1,07;1,2575922508155128;4,8522853317072725;0,2797454556776216;True;11,0;
2356;BW 09;4,82;6,47;434,959;2,79;1,08;1,2613328986373271;4,867189436291931;0,33941452357553326;True;11,0;
2357;BW 09;5,18;6,48;481,264;3,13;0,84;1,2597410595349088;5,228512594052999;0,30294636839255645;True;11,0;
2358;BW 09;4,99;6,48;492,433;4,06;0,91;1,2554024261327985;5,030944240433079;0,34794891537634953;True;11,0;
2359;BW 05;5,04;6,48;452,419;7,67;1,03;1,2387659175266352;5,058808693437089;0,314421993250794;True;11,0;
2360;BW 09;5,19;6,5;603,854;3,09;0,61;1,2599281756200187;5,2388656076142395;0,37786531083023017;True;11,0;
2361;BW 09;4,84;6,48;443,943;3,1;1,07;1,2598813926328576;4,885509768866166;0,3425424535623154;True;11,0;
2362;BW 09;5,15;6,48;535,139;3,04;0,76;1,2601621302486812;5,19881074132177;0,3426663272475278;True;11,0;
2363;BW 09;4,84;6,47;378,783;4,13;1,27;1,2550767698849452;4,879291476301633;0,29338441618320216;True;11,0;
2364;BW 06;4,81;6,47;362,28;3,19;1,29;1,259460464656796;4,8546869107112745;0,28489021247048274;True;11,0;
2365;BW 06;5,08;6,48;411,782;3,19;1,1;1,259460464656796;5,127195323578644;0,2748809359760309;True;11,0;
2366;BW 06;5,13;6,48;490,649;5,45;0,91;1,2489590600531413;5,1632291877052054;0,32071816495169503;True;11,0;
2367;BW 05;5,11;2,44;66,896;7,93;31,52;1,2375796439553146;5,127432160031964;0,0446495648702548;False;11,0;
2368;BW 05;4,91;6,48;458,352;7,7;1,05;1,2386289615489074;4,928141919351026;0,34456119289535125;True;11,0;
2369;BW 09;4,78;6,48;407,09;3,05;0,99;1,2601153340280484;4,825244220110042;0,32602386104992853;True;11,0;
