;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density;Corrected Wind Speed
79;5,86;6,59;909,541;8,11;0,0;1,2367592712253834;5,878691156905009
80;5,58;6,49;751,338;8,11;0,13;1,2367592712253834;5,597798064083609
81;8,25;8,55;2646,217;7,76;0,0;1,2383551109706603;8,279872564733639
82;9,25;9,46;3541,544;7,32;0,02;1,24036525732998;9,2885138758937
83;6,52;7,23;1280,659;7,38;0,01;1,2400908851332584;6,546664293364492
84;6,32;6,93;1099,884;7,77;0,01;1,2383094771538827;6,342806281590763
85;6,02;6,66;955,424;7,76;0,01;1,2383551109706603;6,041797919963213
86;5,78;6,62;915,871;7,74;0,01;1,2384463854118541;5,801071417859095
87;6,13;6,6;915,396;7,76;0,01;1,2383551109706603;6,152196220826329
88;6,95;7,93;1702,897;7,8;0,04;1,2381725893084847;6,974822665059204
89;6,97;7,62;1504,695;7,72;0,05;1,2385376689356409;6,99558151949806
90;6,13;6,86;1061,951;7,74;0,05;1,2384463854118541;6,152347368767518
91;6,07;6,72;976,255;7,69;0,05;1,2386746112662463;6,092502838619296
92;5,75;6,53;848,909;7,64;0,05;1,2389028939943858;5,7716710491866605
93;5,76;6,49;785,344;7,72;0,09;1,2385376689356409;5,781140538351338
94;5,44;6,49;587,09;7,89;0,67;1,2377620480148046;5,458826077616991
95;5,91;6,66;949,471;8,19;0,01;1,2363948942393268;5,928268323171056
96;6,16;6,85;1060,203;8,23;0,0;1,2362127593332213;6,178737665841764
97;6,2;6,93;1104,415;8,28;0,0;1,2359851408269333;6,218477631681213
98;7,24;8,05;1839,649;8,11;0,0;1,2367592712253834;7,263092828667621
99;7,45;8,49;2113,234;7,84;0,0;1,2379901038939365;7,47624114228042
100;6,61;7,03;1148,916;7,99;0,0;1,2373061054759127;6,63206053902073
101;6,11;6,63;885,45;7,9;0,07;1,2377164436155428;6,131069430515804
102;6,85;7,3;1307,481;7,84;0,01;1,2379901038939365;6,874127761694077
103;6,18;6,77;942,688;7,98;0,15;1,237351689594827;6,200701581565766
104;7,0;7,89;1697,058;7,78;0,01;1,2382638456051691;7,025173827637365
105;6,96;7,8;1616,646;7,79;0,01;1,238218216323657;6,984944178081976
106;6,21;6,87;1033,121;7,9;0,07;1,2377164436155428;6,231414265712462
107;5,22;6,48;496,15;8,1;0,86;1,2368048284132014;5,2367141000642965
108;4,66;6,48;321,211;8,1;1,39;1,2368048284132014;4,674921016532495
109;4,7;6,48;319,613;8,12;1,43;1,2367137162761683;4,714933309356809
110;5,05;6,48;524,519;8,07;0,79;1,2369415134169828;5,066356392853224
111;5,1;6,48;523,58;8,07;0,81;1,2369415134169828;5,1165183373369185
112;5,46;6,48;608,786;8,2;0,51;1,2363493571675466;5,476810094517655
113;5,93;6,57;865,795;8,4;0,01;1,2354390830260007;5,946796938327949
114;6,45;7,01;1135,636;8,26;0,01;1,2360761815520593;6,46938153117106
