;Identifier;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density;Corrected Wind Speed;Power Coefficient;Lower Limit Filter;Bin;Active Power Filter
0;se600214;0,72;0,0;-19,011;7,96;45,0;1,239822264172857;0,7228923194726035;-7,2648334746889915;False;2,0;True
1;se600214;1,06;0,0;-21,018;8,17;45,0;1,238863598491964;1,0639837614286658;-2,5189985751563744;False;3,0;True
2;se600216;1,16;0,0;-9,861;5,38;45,02;1,251683830894228;1,1683622248037373;-0,892544691289534;False;3,0;True
3;bw08;1,13;0,0;-3,725;4,5;45,0;1,255766577020504;1,1393820866599;-0,363546233038075;False;3,0;True
4;bw09;1,16;0,0;-6,438;5,51;45,01;1,2510823345828526;1,168175042771409;-0,5830002419850385;False;3,0;True
5;se600216;0,75;0,0;-9,817;5,45;45,02;1,251359896444519;0,7553414390984341;-3,288443544957379;False;3,0;True
6;se600216;0,82;0,0;-9,55;5,5;45,02;1,251128588732078;0,825789086128453;-2,448146983080334;False;3,0;True
7;se600214;0,88;0,0;-20,503;8,32;45,0;1,2381794423933576;0,8831446430535441;-4,296980950310758;False;3,0;True
8;bw09;1,15;0,0;-5,475;5,49;45,01;1,2511748453446492;1,1581331127477397;-0,5088036524842886;False;3,0;True
9;bw06;1,01;0,0;-9,052;5,32;45,0;1,2519615854307846;1,0173561435399823;-1,240986459018882;False;3,0;True
10;se600214;1,1;0,0;-21,615;8,01;45,0;1,2395939204341697;1,1043510152978688;-2,3167297146461054;False;3,0;True
11;se600214;0,91;0,0;-6,751;6,05;45,01;1,2485882461515894;0,9158038048046946;-1,268826705785869;False;3,0;True
12;se600214;1,03;0,0;-7,775;6,1;45,01;1,248357670753373;1,0365053304182785;-1,0079228979024464;False;3,0;True
13;se600214;1,08;0,0;-22,472;8,15;45,0;1,2389548573101472;1,0840855445485824;-2,546200501070097;False;3,0;True
14;bw06;1,17;0,0;-9,23;5,27;45,0;1,2521931156774215;1,1785941182896624;-0,8138613532434598;False;3,0;True
15;se600214;1,11;0,0;-6,781;5,82;45,01;1,2496496733665512;1,1173958204007595;-0,7016396935637813;False;3,0;True
16;se600214;0,83;0,0;-19,144;7,99;45,0;1,2396852511636052;0,833303503172987;-4,776003059739503;False;3,0;True
17;se600214;1,14;0,0;-7,382;5,58;45,0;1,2507586244441842;1,1479350695445942;-0,7044717835788069;False;3,0;True
18;bw08;1,14;0,0;-5,178;4,48;45,0;1,2558595935286965;1,149493494141387;-0,49213474410820585;False;3,0;True
19;bw08;0,86;0,0;-5,025;4,5;45,0;1,255766577020504;0,8671403491393931;-1,112524066845912;False;3,0;True
20;bw08;0,97;0,0;-3,82;4,5;45,0;1,255766577020504;0,9780536496107107;-0,5894091349140654;False;3,0;True
21;bw06;1,0;0,0;-9,363;5,24;45,0;1,2523320636010107;1,00738265844498;-1,3221269124673622;False;3,0;True
22;bw06;1,03;0,0;-12,35;5,13;45,0;1,2528417307714266;1,037744878570162;-1,59527917121423;False;3,0;True
23;bw08;1,22;0,0;-3,776;4,46;45,0;1,2559526202147235;1,230190077836457;-0,29279041787147564;False;3,0;True
24;bw08;1,16;0,0;-3,756;4,41;45,0;1,256185231498971;1,1697611335564455;-0,33874707576934016;False;3,0;True
25;bw06;1,22;0,0;-20,963;5,04;45,0;1,2532589555083724;1,2293099779116137;-1,6289612293024442;False;3,0;True
26;se600214;1,0;0,0;-9,205;5,81;45,0;1,2496958515532377;1,0066753008156741;-1,3025580489489437;False;3,0;True
27;bw08;1,04;0,0;-3,781;6,85;45,0;1,2449062256745;1,0456030851575147;-0,47747170773232134;False;3,0;True
28;se600216;1,05;0,01;-17,669;5,26;45,02;1,252239429169048;1,0577257102515123;-2,1554319765537486;False;3,0;True
29;bw06;1,13;0,0;-20,149;5,09;45,0;1,253027139022966;1,1385529678674762;-1,9707671349020677;False;3,0;True
30;bw08;1,24;0,0;-3,713;6,38;45,0;1,2470675611313424;1,247401656419103;-0,2761515807044489;False;3,0;True
31;bw06;1,06;0,0;-19,899;5,22;45,0;1,252424707969925;1,0678519489847915;-2,359063611032689;False;3,0;True
32;se600214;1,13;0,0;-22,043;7,8;45,0;1,2405533439574894;1,1347622902861996;-2,1776974805483746;False;3,0;True
33;bw08;1,2;0,0;-3,722;6,43;45,0;1,2468373822323617;1,207088617588782;-0,30549241955586565;False;3,0;True
34;bw09;1,18;0,0;-8,09;5,39;45,01;1,2516375471316807;1,1884917517001807;-0,6956672188803759;False;3,0;True
35;se600216;1,24;0,0;-9,881;5,33;45,02;1,2519152868181433;1,249015908000925;-0,73204625546419;False;3,0;True
36;bw06;1,14;0,0;-11,418;5,22;45,0;1,252424707969925;1,1484445489081718;-1,08818185520948;False;3,0;True
37;bw06;0,95;0,0;-10,412;7,14;45,0;1,2435752334962031;0,9547776930226385;-1,726906807625068;False;3,0;True
38;bw09;1,21;0,0;-5,724;7,11;45,0;1,2437128312024852;1,216130122520908;-0,45941061054440885;False;3,0;True
39;bw09;1,22;0,0;-4,33;7,08;45,0;1,243850449882811;1,226226009266895;-0,33901417614913654;False;3,0;True
40;se600216;1,16;0,0;-9,425;5,5;45,02;1,251128588732078;1,1681894389134213;-0,853459791724292;False;3,0;True
41;se600214;1,24;0,05;-21,184;7,46;45,0;1,242108823669364;1,2457461048325706;-1,5818339326227984;False;3,0;True
42;bw06;1,15;0,0;-9,334;7,1;45,0;1,243758701764351;1,1558403590383661;-0,8726011187468821;False;3,0;True
43;se600214;1,17;0,0;-6,726;5,78;45,0;1,2498344007459679;1,1778536268403934;-0,5941887512803573;False;3,0;True
44;bw06;1,16;0,0;-11,938;7,13;45,0;1,2436210970692567;1,165848146607686;-1,0875447799166846;False;3,0;True
45;bw06;1,21;0,0;-11,314;7,13;45,0;1,2436210970692567;1,2161002218925;-0,9081333079549098;False;3,0;True
46;se600216;1,2;0,0;-9,93;5,64;45,02;1,2504812544401147;1,2082633761778239;-0,8126545041943447;False;3,0;True
47;bw09;1,14;0,0;-5,796;7,13;45,0;1,2436210970692567;1,1457473164937604;-0,5562927040711586;False;3,0;True
48;se600214;1,16;0,0;-6,839;5,89;45,0;1,2493264942619853;1,1676282924121006;-0,620183643562607;False;3,0;True
49;se600214;0,91;0,0;-7,418;5,69;45,0;1,2502501802083812;0,9162099517063086;-1,3923337432752179;False;3,0;True
50;se600214;0,98;0,0;-8,848;5,92;45,0;1,2491880254235606;0,9864081463928096;-1,3308119642572573;False;3,0;True
51;bw06;1,17;0,0;-10,849;7,18;45,0;1,2433918024746518;1,1758262878407046;-0,9633891400816001;False;3,0;True
52;bw06;1,04;0,0;-9,625;7,14;45,0;1,2435752334962031;1,0452303165721517;-1,2167637936375402;False;3,0;True
53;bw09;1,22;0,0;-4,475;5,24;45,01;1,2523320636010107;1,2290068433028758;-0,3479939309042185;False;3,0;True
