Datum (Anlage);Zeit (Anlage);Identifier (Anlage);Wind Speed (avg);Rotor Speed [rpm] (avg);Active Power (avg);Nacelle Position (avg);Wind Direction (avg);Generator Speed [rpm] (avg);T Outside Nacelle Level (avg);Pitch Angle 1 (avg)
01.01.21;00:00:00;bw09;2,36;0,42;-4,993;336;6,42;58,38;6,98;45,00
01.01.21;00:10:00;bw09;2,68;0,25;-12,271;1;86,42;38,38;6,83;45,00
01.01.21;00:20:00;bw09;1,71;0,14;-7,239;37;30,15;42,99;6,81;45,00
01.01.21;00:30:00;bw09;1,72;0,07;-6,534;37;45,21;26,90;6,97;45,00
01.01.21;00:40:00;bw09;4,37;2,09;67,651;34;12,84;244,71;6,60;34,83
01.01.21;00:50:00;bw09;3,98;6,47;167,155;22;39,89;748,27;6,48;1,38
01.01.21;01:00:00;bw09;2,09;2,46;-17,554;31;27,76;292,57;6,77;29,84
01.01.21;01:10:00;bw09;2,02;0,00;-4,754;31;350,40;31,84;7,10;45,00
01.01.21;01:20:00;bw09;1,30;0,00;-4,917;31;340,02;11,81;7,08;45,00
01.01.21;01:30:00;bw09;1,54;0,00;-8,249;31;344,94;1,35;7,06;45,00
01.01.21;01:40:00;bw09;1,21;0,00;-5,724;31;342,22;1,33;7,11;45,00
01.01.21;01:50:00;bw09;1,22;0,00;-4,330;31;338,74;1,33;7,08;45,00
01.01.21;02:00:00;bw09;1,52;0,00;-5,631;31;322,81;1,32;6,77;45,00
01.01.21;02:10:00;bw09;1,56;0,00;-4,291;31;315,37;1,31;6,73;45,00
01.01.21;02:20:00;bw09;1,62;0,00;-4,201;31;318,00;1,31;6,81;45,00
01.01.21;02:30:00;bw09;1,78;0,00;-5,655;31;316,35;1,30;6,82;45,00
01.01.21;02:40:00;bw09;1,81;0,00;-4,890;31;314,58;1,30;6,81;45,00
01.01.21;02:50:00;bw09;2,20;0,00;-6,551;31;318,08;1,30;6,80;45,00
01.01.21;03:00:00;bw09;2,37;0,00;-7,979;31;320,02;1,29;6,98;45,00
01.01.21;03:10:00;bw09;2,25;0,00;-5,455;31;317,87;1,29;6,99;45,00
01.01.21;03:20:00;bw09;1,52;0,00;-4,222;31;319,83;1,30;7,11;45,00
01.01.21;03:30:00;bw09;1,14;0,00;-5,796;31;23,17;5,36;7,13;45,00
01.01.21;03:40:00;bw09;1,42;0,00;-4,179;31;308,87;1,29;7,04;45,00
01.01.21;03:50:00;bw09;1,62;0,00;-5,035;31;332,02;1,29;7,18;45,00
01.01.21;04:00:00;bw09;3,07;0,00;-10,431;29;293,46;5,83;7,12;45,00
01.01.21;04:10:00;bw09;4,58;4,34;171,386;327;314,58;504,81;7,26;16,27
01.01.21;04:20:00;bw09;4,46;6,48;268,778;327;334,03;748,91;7,23;1,47
01.01.21;04:30:00;bw09;4,11;6,48;106,933;359;25,60;748,69;7,20;1,51
01.01.21;04:40:00;bw09;2,82;2,77;-31,680;15;359,81;317,91;7,27;29,50
01.01.21;04:50:00;bw09;3,39;0,82;-19,344;351;331,19;95,96;7,27;44,11
01.01.21;05:00:00;bw09;4,30;6,09;192,918;347;351,05;706,08;7,27;3,07
01.01.21;05:10:00;bw09;4,28;6,48;173,517;348;358,20;748,82;7,30;1,51
01.01.21;05:20:00;bw09;4,08;6,48;189,578;348;349,73;748,92;7,27;1,51
01.01.21;05:30:00;bw09;4,74;6,48;392,716;348;345,05;749,37;7,23;1,18
01.01.21;05:40:00;bw09;5,70;6,48;701,530;348;348,39;748,87;7,20;0,14
01.01.21;05:50:00;bw09;5,83;6,48;680,830;348;351,37;748,96;7,19;0,28
01.01.21;06:00:00;bw09;5,40;6,48;656,003;348;341,34;749,09;7,20;0,39
01.01.21;06:10:00;bw09;4,91;6,48;451,513;348;343,42;748,80;7,21;0,97
01.01.21;06:20:00;bw09;5,06;6,48;463,597;348;342,52;748,97;7,20;1,04
01.01.21;06:30:00;bw09;4,66;6,48;351,079;348;342,91;748,69;7,23;1,34
