Datum (Anlage);Zeit (Anlage);Identifier (Anlage);Wind Speed (avg);Rotor Speed [rpm] (avg);Active Power (avg);Nacelle Position (avg);Wind Direction (avg);Generator Speed [rpm] (avg);T Outside Nacelle Level (avg);Pitch Angle 1 (avg)
01.01.21;06:40:00;bw09;4,60;6,48;280,186;348;340,45;748,91;7,27;1,50
01.01.21;06:50:00;bw09;4,67;6,48;311,863;348;344,40;748,77;7,23;1,48
01.01.21;07:00:00;bw09;4,39;6,48;243,772;348;339,10;748,81;7,33;1,50
01.01.21;07:10:00;bw09;4,21;6,48;127,718;348;336,41;748,77;7,41;1,50
01.01.21;07:20:00;bw09;3,96;6,48;89,832;347;321,93;748,74;7,47;1,50
01.01.21;07:30:00;bw09;3,99;6,48;138,039;336;328,24;748,82;7,42;1,50
01.01.21;07:40:00;bw09;3,64;6,48;49,337;336;322,33;748,76;7,50;1,50
01.01.21;07:50:00;bw09;3,26;6,48;-10,104;334;318,44;748,84;7,50;1,50
01.01.21;08:00:00;bw09;3,98;6,48;91,569;334;323,50;748,93;7,51;1,50
01.01.21;08:10:00;bw09;4,86;6,48;372,580;327;325,26;749,10;7,50;1,30
01.01.21;08:20:00;bw09;4,60;6,48;270,258;333;342,12;748,58;7,52;1,38
01.01.21;08:30:00;bw09;4,43;6,48;244,955;344;328,87;748,76;7,69;1,47
01.01.21;08:40:00;bw09;4,26;6,48;215,186;344;333,69;748,62;7,58;1,50
01.01.21;08:50:00;bw09;4,36;6,48;220,818;344;330,84;748,73;7,50;1,50
01.01.21;09:00:00;bw09;3,97;6,48;137,018;344;331,06;748,81;7,66;1,50
01.01.21;09:10:00;bw09;4,33;6,48;283,239;344;331,63;749,06;7,63;1,35
01.01.21;09:20:00;bw09;4,79;6,48;375,517;340;320,07;748,85;7,62;1,29
01.01.21;09:30:00;bw09;4,69;6,48;328,865;332;326,79;748,88;7,54;1,43
01.01.21;09:40:00;bw09;4,71;6,48;359,661;324;311,98;748,73;7,70;1,35
01.01.21;09:50:00;bw09;4,64;6,48;347,517;319;319,55;749,00;7,70;1,41
01.01.21;10:00:00;bw09;5,07;6,48;423,099;319;326,15;748,77;7,54;1,12
01.01.21;10:10:00;bw09;4,56;6,48;301,332;319;322,03;748,31;7,63;1,48
01.01.21;10:20:00;bw09;4,53;6,48;317,364;316;298,54;748,77;7,75;1,32
01.01.21;10:30:00;bw09;4,72;6,48;371,324;311;309,26;748,77;7,70;1,28
01.01.21;10:40:00;bw09;4,79;6,48;376,847;311;306,07;748,48;7,72;1,30
01.01.21;10:50:00;bw09;4,55;6,48;305,983;311;309,48;748,98;7,75;1,45
01.01.21;11:00:00;bw09;5,32;6,48;631,355;311;298,16;749,11;7,72;0,40
01.01.21;11:10:00;bw09;5,62;6,48;711,896;303;290,97;748,77;7,72;0,04
01.01.21;11:20:00;bw09;5,78;6,48;672,929;295;299,57;748,63;7,70;0,26
01.01.21;11:30:00;bw09;5,62;6,48;749,780;295;292,29;748,95;7,70;0,08
01.01.21;11:40:00;bw09;5,61;6,48;764,373;295;287,32;749,38;7,73;0,14
01.01.21;11:50:00;bw09;6,02;6,55;862,761;281;280,26;757,60;7,73;0,03
01.01.21;12:00:00;bw09;5,40;6,48;583,106;279;279,42;748,54;7,77;0,53
01.01.21;12:10:00;bw09;5,42;6,48;668,185;279;278,01;748,86;7,78;0,32
01.01.21;12:20:00;bw09;5,88;6,49;782,258;279;282,15;750,73;7,79;0,05
01.01.21;12:30:00;bw09;5,65;6,48;697,987;279;278,97;749,17;7,80;0,26
01.01.21;12:40:00;bw09;6,15;6,88;1012,980;279;282,20;795,13;7,75;0,07
01.01.21;12:50:00;bw09;5,78;6,51;832,601;279;276,81;751,95;7,67;0,01
01.01.21;13:00:00;bw09;6,00;6,52;825,376;279;277,82;754,11;7,68;0,01
01.01.21;13:10:00;bw09;5,36;6,48;624,092;279;276,20;748,58;7,70;0,43
01.01.21;13:20:00;bw09;5,25;6,48;574,150;279;268,89;748,77;7,70;0,60
01.01.21;13:30:00;bw09;5,40;6,48;598,161;279;275,86;748,52;7,73;0,54
01.01.21;13:40:00;bw09;8,01;8,57;2301,011;299;311,35;990,81;7,35;0,15
01.01.21;13:50:00;bw09;7,70;8,47;2124,736;308;304,62;978,79;7,17;0,00
01.01.21;14:00:00;bw09;5,90;6,85;814,423;300;262,75;791,55;7,35;0,61
01.01.21;14:10:00;bw09;6,15;6,56;860,920;270;269,98;758,69;7,21;0,06
01.01.21;14:20:00;bw09;6,39;7,13;1220,639;265;264,85;824,29;7,08;0,00
01.01.21;14:30:00;bw09;6,17;6,60;888,272;266;275,42;762,72;7,19;0,00
01.01.21;14:40:00;bw09;5,98;6,52;809,973;266;272,88;754,27;7,34;0,03
01.01.21;14:50:00;bw09;6,50;7,05;1140,914;266;271,53;814,76;7,14;0,08
01.01.21;15:00:00;bw09;6,21;6,74;1001,480;260;242,07;778,94;7,08;0,01
01.01.21;15:10:00;bw09;5,96;6,74;988,519;249;236,96;778,89;7,00;0,01
01.01.21;15:20:00;bw09;6,32;6,97;1129,739;249;247,81;805,56;7,04;0,01
01.01.21;15:30:00;bw09;6,19;6,91;1091,532;249;246,04;798,67;7,08;0,01
01.01.21;15:40:00;bw09;6,09;6,75;1010,357;249;241,14;780,60;7,12;0,01
01.01.21;15:50:00;bw09;6,42;7,18;1229,778;255;275,05;829,75;7,34;0,01
01.01.21;16:00:00;bw09;5,88;6,66;911,755;277;292,82;770,29;7,65;0,06
01.01.21;16:10:00;bw09;6,16;6,82;949,165;277;286,24;788,72;7,59;0,21
01.01.21;16:20:00;bw09;5,93;6,68;945,024;285;281,47;772,14;7,68;0,01
01.01.21;16:30:00;bw09;5,62;6,62;808,818;285;272,88;765,93;7,74;0,19
01.01.21;16:40:00;bw09;5,74;6,90;817,575;280;309,07;797,27;7,34;0,69
01.01.21;16:50:00;bw09;3,66;6,48;53,884;301;298,73;748,89;7,48;1,50
01.01.21;17:00:00;bw09;6,09;6,50;755,564;301;308,13;751,78;7,25;0,17
01.01.21;17:10:00;bw09;6,38;6,68;918,883;301;308,47;772,22;7,22;0,01
01.01.21;17:20:00;bw09;6,49;7,04;1158,739;305;300,25;813,39;7,30;0,01
01.01.21;17:30:00;bw09;5,65;6,76;738,423;297;301,23;781,20;7,50;0,64
01.01.21;17:40:00;bw09;5,57;6,49;634,538;299;299,42;750,14;7,47;0,50
01.01.21;17:50:00;bw09;3,40;2,54;25,261;291;276,10;291,45;7,68;31,78
01.01.21;18:00:00;bw09;3,24;0,77;-14,871;265;271,32;89,26;7,72;45,00
01.01.21;18:10:00;bw09;4,10;1,96;48,009;261;274,55;229,53;7,48;35,50
01.01.21;18:20:00;bw09;5,72;6,48;568,875;258;261,92;748,76;7,36;0,56
01.01.21;18:30:00;bw09;5,66;6,49;759,436;258;268,85;749,88;7,57;0,07
01.01.21;18:40:00;bw09;6,15;6,48;740,505;258;265,50;748,92;7,70;0,06
01.01.21;18:50:00;bw09;5,58;6,48;636,777;264;278,58;748,87;7,71;0,39
01.01.21;19:00:00;bw09;5,85;6,48;715,537;273;274,72;749,04;7,80;0,19
01.01.21;19:10:00;bw09;6,81;7,31;1309,645;283;309,58;845,17;7,80;0,14
01.01.21;19:20:00;bw09;8,02;9,15;2658,425;305;302,89;1057,09;7,48;0,01
01.01.21;19:30:00;bw09;7,53;8,52;2131,155;300;292,60;984,88;7,47;0,01
01.01.21;19:40:00;bw09;5,94;6,66;826,800;291;301,73;769,84;7,75;0,10
01.01.21;19:50:00;bw09;6,04;6,59;913,726;309;317,97;762,21;7,65;0,00
01.01.21;20:00:00;bw09;6,10;6,95;1119,757;312;296,06;804,08;7,58;0,00
01.01.21;20:10:00;bw09;6,22;6,98;1130,643;308;306,76;807,32;7,34;0,01
01.01.21;20:20:00;bw09;5,80;6,57;770,804;308;308,08;759,17;7,18;0,23
01.01.21;20:30:00;bw09;5,64;6,50;678,031;308;298,67;751,09;7,27;0,45
01.01.21;20:40:00;bw09;7,08;7,51;1474,032;308;311,12;868,20;7,01;0,00
01.01.21;20:50:00;bw09;5,01;6,76;589,016;308;303,61;781,84;7,25;0,75
01.01.21;21:00:00;bw09;2,65;1,06;-26,056;308;281,78;120,21;7,44;42,16
01.01.21;21:10:00;bw09;2,72;0,53;-8,594;308;276,17;61,96;7,51;45,00
01.01.21;21:20:00;bw09;3,06;0,67;-7,860;295;252,65;78,81;7,61;45,00
01.01.21;21:30:00;bw09;3,07;0,87;-6,267;276;289,76;100,76;7,59;45,00
01.01.21;21:40:00;bw09;4,02;1,43;-7,052;276;274,78;167,62;7,62;40,50
01.01.21;21:50:00;bw09;5,47;6,56;613,784;282;296,72;758,78;7,12;1,12
01.01.21;22:00:00;bw09;2,57;1,92;-15,865;291;285,28;220,17;7,39;36,72
01.01.21;22:10:00;bw09;4,15;3,63;140,974;303;334,50;422,13;7,62;21,25
01.01.21;22:20:00;bw09;7,42;7,90;1756,081;301;261,74;912,58;7,37;0,01
01.01.21;22:30:00;bw09;4,95;6,47;438,670;278;300,26;748,44;7,10;1,03
01.01.21;22:40:00;bw09;4,30;6,48;258,549;291;300,48;748,88;7,39;1,32
01.01.21;22:50:00;bw09;6,24;6,81;973,155;301;318,97;787,80;7,69;0,16
01.01.21;23:00:00;bw09;6,80;7,65;1520,150;310;306,20;884,87;7,71;0,01
01.01.21;23:10:00;bw09;8,24;9,19;2749,823;316;318,27;1062,11;7,33;0,01
01.01.21;23:20:00;bw09;7,28;8,12;1838,507;319;317,31;938,15;7,20;0,01
01.01.21;23:30:00;bw09;6,80;7,30;1310,337;319;323,37;844,13;7,38;0,01
01.01.21;23:40:00;bw09;6,20;6,52;834,306;319;324,63;754,06;7,50;0,02
01.01.21;23:50:00;bw09;6,11;6,66;951,843;319;315,49;770,03;7,66;0,00
02.01.21;00:00:00;bw09;5,20;6,48;571,619;308;295,83;748,97;7,69;0,64
02.01.21;00:10:00;bw09;5,32;6,49;583,856;305;298,49;750,72;7,70;0,65
02.01.21;00:20:00;bw09;6,30;7,01;1104,466;321;313,09;810,59;7,33;0,05
02.01.21;00:30:00;bw09;4,78;6,48;363,835;316;302,38;748,87;7,47;1,26
02.01.21;00:40:00;bw09;4,35;6,47;223,278;308;286,17;748,42;7,71;1,47
02.01.21;00:50:00;bw09;3,90;6,48;129,270;299;292,81;748,45;7,78;1,51
02.01.21;01:00:00;bw09;4,28;6,48;197,758;309;329,32;748,83;7,80;1,39
02.01.21;01:10:00;bw09;5,14;6,48;478,936;318;337,06;748,63;7,74;0,92
02.01.21;01:20:00;bw09;4,53;6,48;358,007;331;321,40;748,47;7,74;1,15
02.01.21;01:30:00;bw09;4,17;6,48;174,319;331;316,32;748,68;7,79;1,51
02.01.21;01:40:00;bw09;4,63;6,48;315,706;316;305,68;748,79;7,79;1,50
02.01.21;01:50:00;bw09;5,82;6,57;743,947;315;328,05;759,57;7,72;0,39
02.01.21;02:00:00;bw09;5,51;6,48;651,702;323;321,84;748,81;7,70;0,28
02.01.21;02:10:00;bw09;5,00;6,48;446,587;323;314,99;748,64;7,70;1,04
02.01.21;02:20:00;bw09;4,17;6,48;267,241;323;309,05;748,78;7,80;1,48
02.01.21;02:30:00;bw09;4,66;6,50;409,676;321;276,58;751,39;7,80;1,21
02.01.21;02:40:00;bw09;5,67;6,50;749,516;294;296,52;751,59;7,50;0,11
02.01.21;02:50:00;bw09;4,78;6,48;396,954;295;303,52;748,39;7,56;1,21
02.01.21;03:00:00;bw09;4,47;6,48;216,233;299;311,49;748,47;7,69;1,50
02.01.21;03:10:00;bw09;3,98;6,48;197,162;302;299,61;748,83;7,70;1,50
02.01.21;03:20:00;bw09;4,58;6,48;204,908;319;351,10;748,46;7,70;1,50
02.01.21;03:30:00;bw09;3,54;6,48;28,452;347;348,48;748,47;7,70;1,50
02.01.21;03:40:00;bw09;2,94;6,48;-6,479;348;337,73;748,62;7,75;1,50
02.01.21;03:50:00;bw09;3,04;6,48;-2,063;348;330,32;748,82;7,71;1,51
02.01.21;04:00:00;bw09;3,92;2,11;-21,005;345;32,29;243,52;7,55;35,41
02.01.21;04:10:00;bw09;5,04;6,33;308,084;22;43,07;733,22;7,15;2,71
02.01.21;04:20:00;bw09;3,63;6,48;89,913;28;11,78;748,59;7,26;1,50
02.01.21;04:30:00;bw09;3,18;6,48;-2,895;7;346,32;748,83;7,40;1,50
02.01.21;04:40:00;bw09;3,03;5,60;-4,908;359;0,35;645,46;7,29;8,74
02.01.21;04:50:00;bw09;2,00;0,36;-22,885;359;7,43;56,21;7,24;45,00
02.01.21;05:00:00;bw09;3,18;0,77;-17,839;359;351,22;89,84;7,35;45,00
02.01.21;05:10:00;bw09;4,56;5,38;263,914;5;14,05;623,52;7,21;7,84
02.01.21;05:20:00;bw09;4,74;6,48;363,939;12;15,82;748,98;7,17;1,38
02.01.21;05:30:00;bw09;5,06;6,48;416,352;12;24,12;748,90;7,11;1,14
02.01.21;05:40:00;bw09;4,35;6,48;237,520;21;19,39;748,82;7,17;1,45
02.01.21;05:50:00;bw09;4,32;6,48;256,318;21;19,70;748,70;7,20;1,50
02.01.21;06:00:00;bw09;4,42;6,48;268,511;21;20,24;748,96;7,20;1,42
02.01.21;06:10:00;bw09;4,63;6,47;337,449;24;30,86;748,58;7,15;1,32
02.01.21;06:20:00;bw09;4,36;6,48;282,363;29;26,99;748,70;7,12;1,45
02.01.21;06:30:00;bw09;4,70;6,48;279,143;29;33,68;748,44;7,06;1,43
02.01.21;06:40:00;bw09;4,92;6,48;408,343;33;38,02;748,78;7,02;1,11
02.01.21;06:50:00;bw09;5,74;6,52;672,291;33;37,72;753,68;6,92;0,45
02.01.21;07:00:00;bw09;6,86;7,23;1247,606;36;45,80;835,32;6,76;0,07
02.01.21;07:10:00;bw09;6,43;6,71;938,613;38;45,81;775,06;6,70;0,04
02.01.21;07:20:00;bw09;5,35;6,48;597,151;43;48,39;749,19;6,71;0,60
02.01.21;07:30:00;bw09;4,97;6,49;524,391;44;44,04;750,41;6,79;0,79
02.01.21;07:40:00;bw09;5,63;6,49;710,742;44;42,82;750,56;6,74;0,30
02.01.21;07:50:00;bw09;5,27;6,48;511,415;44;47,83;748,77;6,74;0,83
02.01.21;08:00:00;bw09;5,07;6,48;443,923;44;41,21;748,85;6,73;0,96
02.01.21;08:10:00;bw09;4,43;6,48;265,066;44;40,13;748,59;6,78;1,42
02.01.21;08:20:00;bw09;3,82;6,48;121,492;46;64,17;748,60;6,80;1,50
02.01.21;08:30:00;bw09;3,94;6,48;46,958;61;58,44;748,80;6,88;1,50
02.01.21;08:40:00;bw09;3,77;6,48;65,731;55;45,45;748,61;6,90;1,50
02.01.21;08:50:00;bw09;4,06;6,48;143,351;46;65,02;748,68;6,78;1,50
02.01.21;09:00:00;bw09;4,33;6,48;223,524;59;51,06;748,65;6,80;1,49
02.01.21;09:10:00;bw09;4,20;6,48;209,330;59;49,11;748,67;6,92;1,50
02.01.21;09:20:00;bw09;4,46;6,48;290,270;59;52,36;748,63;6,80;1,44
02.01.21;09:30:00;bw09;4,06;6,48;149,454;59;55,20;748,67;6,84;1,51
02.01.21;09:40:00;bw09;3,93;6,47;143,319;59;54,15;748,38;6,97;1,49
02.01.21;09:50:00;bw09;3,41;6,48;42,815;50;57,28;748,86;6,99;1,51
02.01.21;10:00:00;bw09;3,45;6,48;8,913;56;66,12;748,68;6,86;1,51
02.01.21;10:10:00;bw09;3,55;6,48;10,170;61;68,99;748,69;6,87;1,51
02.01.21;10:20:00;bw09;3,62;6,48;78,967;57;47,84;749,05;7,10;1,51
02.01.21;10:30:00;bw09;4,01;6,48;150,489;55;37,75;748,65;7,18;1,50
02.01.21;10:40:00;bw09;3,17;6,48;-22,367;51;59,51;748,73;7,16;1,50
02.01.21;10:50:00;bw09;2,86;3,42;-43,189;58;51,29;392,71;7,45;24,81
02.01.21;11:00:00;bw09;3,10;0,72;-18,887;54;41,20;83,49;7,61;45,00
02.01.21;11:10:00;bw09;3,10;0,78;-18,371;52;44,65;90,59;7,86;45,00
02.01.21;11:20:00;bw09;3,46;0,86;-19,826;51;31,15;99,49;7,81;45,00
02.01.21;11:30:00;bw09;3,30;0,80;-18,966;51;46,89;92,62;7,84;45,00
02.01.21;11:40:00;bw09;3,41;0,84;-19,134;51;31,05;97,69;7,77;44,78
02.01.21;11:50:00;bw09;4,14;5,82;176,025;54;57,03;674,64;7,55;4,86
02.01.21;12:00:00;bw09;4,39;6,48;257,458;58;58,84;748,88;7,41;1,43
02.01.21;12:10:00;bw09;3,98;6,48;161,664;58;51,13;748,91;7,40;1,46
02.01.21;12:20:00;bw09;3,83;6,47;141,874;52;40,56;748,40;7,27;1,50
02.01.21;12:30:00;bw09;2,94;1,97;-22,336;38;54,50;225,26;7,47;36,30
02.01.21;12:40:00;bw09;3,07;0,82;-18,223;42;73,35;97,01;6,82;40,99
02.01.21;12:50:00;bw09;4,11;6,45;106,931;64;74,60;746,47;6,52;1,75
02.01.21;13:00:00;bw09;3,67;6,48;59,659;78;71,04;748,48;6,53;1,50
02.01.21;13:10:00;bw09;3,51;6,48;57,694;78;68,49;748,76;6,71;1,50
02.01.21;13:20:00;bw09;3,57;6,48;14,958;75;70,13;748,99;6,97;1,50
02.01.21;13:30:00;bw09;3,14;2,62;-20,682;74;58,49;301,16;6,64;31,45
02.01.21;13:40:00;bw09;3,00;0,68;-18,882;63;38,54;78,75;6,47;45,00
02.01.21;13:50:00;bw09;4,05;3,69;96,893;52;66,66;428,87;5,99;21,05
02.01.21;14:00:00;bw09;3,28;5,65;51,439;55;42,39;650,58;5,90;8,34
02.01.21;14:10:00;bw09;3,01;0,71;-23,054;55;42,23;84,47;5,90;45,00
02.01.21;14:20:00;bw09;3,04;0,73;-17,916;52;40,34;85,38;5,82;45,00
02.01.21;14:30:00;bw09;2,97;0,71;-16,829;52;57,40;83,13;5,67;45,00
02.01.21;14:40:00;bw09;2,87;0,70;-16,388;52;52,20;81,35;5,65;45,00
02.01.21;14:50:00;bw09;2,68;0,67;-15,992;52;61,50;78,23;5,62;45,00
02.01.21;15:00:00;bw09;4,08;4,04;84,424;56;65,09;469,43;5,46;19,11
02.01.21;15:10:00;bw09;3,81;6,47;109,938;67;75,17;748,45;5,33;1,50
02.01.21;15:20:00;bw09;3,98;6,48;124,646;79;64,22;748,93;5,43;1,50
02.01.21;15:30:00;bw09;3,59;6,48;92,821;65;65,65;748,75;5,86;1,50
02.01.21;15:40:00;bw09;4,00;6,48;184,559;65;60,76;748,75;5,76;1,50
02.01.21;15:50:00;bw09;4,65;6,48;333,045;68;82,28;749,03;5,37;1,16
02.01.21;16:00:00;bw09;4,81;6,48;411,420;71;54,55;748,74;5,39;0,98
02.01.21;16:10:00;bw09;4,17;6,48;158,141;58;61,58;748,66;5,53;1,48
02.01.21;16:20:00;bw09;4,70;6,48;322,050;76;82,59;748,82;5,38;1,34
02.01.21;16:30:00;bw09;4,51;6,47;352,458;78;83,91;748,31;5,34;1,16
02.01.21;16:40:00;bw09;4,09;6,47;206,085;79;74,11;748,59;5,41;1,45
02.01.21;16:50:00;bw09;4,20;6,48;123,468;69;84,36;748,95;5,54;1,50
02.01.21;17:00:00;bw09;4,41;6,48;258,169;77;65,61;749,00;5,63;1,41
02.01.21;17:10:00;bw09;5,37;6,51;569,862;60;57,31;752,63;5,57;0,71
02.01.21;17:20:00;bw09;5,70;6,48;657,481;49;54,69;749,77;5,37;0,42
02.01.21;17:30:00;bw09;5,26;6,48;526,661;65;64,85;749,47;5,48;0,80
02.01.21;17:40:00;bw09;5,13;6,48;471,725;65;55,73;749,21;5,52;0,91
02.01.21;17:50:00;bw09;5,70;6,53;732,376;51;54,78;755,26;5,61;0,39
02.01.21;18:00:00;bw09;4,79;6,48;387,996;56;79,32;748,75;5,63;1,15
02.01.21;18:10:00;bw09;3,82;6,48;108,641;67;60,24;748,40;5,83;1,50
02.01.21;18:20:00;bw09;5,76;6,56;794,590;73;55,62;757,89;5,87;0,15
02.01.21;18:30:00;bw09;4,21;6,48;210,645;56;56,11;748,57;5,95;1,40
02.01.21;18:40:00;bw09;5,27;6,48;572,417;57;51,90;748,93;5,91;0,66
02.01.21;18:50:00;bw09;5,66;6,60;777,330;56;50,87;762,87;5,93;0,32
02.01.21;19:00:00;bw09;6,16;6,78;1007,251;44;39,21;784,15;5,70;0,01
02.01.21;19:10:00;bw09;5,63;6,60;736,016;42;47,45;762,75;5,72;0,36
02.01.21;19:20:00;bw09;4,20;6,48;193,535;62;55,81;749,06;5,98;1,44
02.01.21;19:30:00;bw09;5,65;6,54;747,115;52;61,87;755,78;5,88;0,30
02.01.21;19:40:00;bw09;5,00;6,48;398,494;67;79,23;748,76;5,92;1,09
02.01.21;19:50:00;bw09;4,22;6,47;233,261;71;56,01;748,17;5,99;1,23
02.01.21;20:00:00;bw09;4,94;6,48;432,554;45;44,42;748,98;6,00;1,07
02.01.21;20:10:00;bw09;5,64;6,49;607,142;53;68,78;749,77;5,96;0,55
02.01.21;20:20:00;bw09;5,58;6,53;675,342;56;41,41;754,85;5,95;0,44
02.01.21;20:30:00;bw09;6,04;6,68;871,109;52;39,20;772,53;5,93;0,22
02.01.21;20:40:00;bw09;5,72;6,53;782,714;43;45,75;755,55;5,94;0,17
02.01.21;20:50:00;bw09;6,06;6,63;826,234;43;47,17;767,08;5,92;0,29
02.01.21;21:00:00;bw09;6,27;6,76;992,138;43;44,43;782,08;5,90;0,01
02.01.21;21:10:00;bw09;5,50;6,53;731,173;43;39,84;755,21;5,92;0,32
02.01.21;21:20:00;bw09;5,80;6,56;767,855;36;30,66;758,22;5,96;0,21
02.01.21;21:30:00;bw09;6,08;6,77;977,181;37;50,69;782,52;5,90;0,08
02.01.21;21:40:00;bw09;5,64;6,58;720,370;50;54,59;760,76;5,97;0,47
02.01.21;21:50:00;bw09;5,88;6,54;779,908;56;57,41;756,19;5,91;0,21
02.01.21;22:00:00;bw09;5,45;6,52;628,585;60;58,61;753,65;5,92;0,59
02.01.21;22:10:00;bw09;5,67;6,51;696,004;49;39,68;752,80;5,84;0,35
02.01.21;22:20:00;bw09;6,71;7,31;1331,848;44;44,36;845,26;5,58;0,00
02.01.21;22:30:00;bw09;5,96;6,77;928,876;45;51,60;782,80;5,57;0,21
02.01.21;22:40:00;bw09;5,99;6,67;861,021;47;50,70;770,75;5,55;0,23
02.01.21;22:50:00;bw09;5,62;6,52;663,568;47;57,10;753,59;5,65;0,52
02.01.21;23:00:00;bw09;4,72;6,48;343,094;64;44,40;748,70;5,70;1,24
02.01.21;23:10:00;bw09;4,86;6,47;366,336;43;48,11;748,16;5,51;1,13
02.01.21;23:20:00;bw09;3,70;6,48;110,476;46;41,18;748,99;5,63;1,51
02.01.21;23:30:00;bw09;3,26;6,48;19,749;44;36,86;748,59;5,73;1,51
02.01.21;23:40:00;bw09;2,63;2,36;-33,074;47;50,14;270,54;5,91;33,22
02.01.21;23:50:00;bw09;2,73;0,64;-16,477;49;27,32;74,79;5,99;45,00
03.01.21;00:00:00;bw09;3,17;0,78;-9,924;49;48,12;90,24;6,00;45,00
03.01.21;00:10:00;bw09;4,14;2,05;66,262;74;130,96;240,05;6,10;34,91
03.01.21;00:20:00;bw09;4,63;6,47;375,643;115;122,73;748,47;5,99;1,19
03.01.21;00:30:00;bw09;4,22;6,48;209,704;115;116,09;748,96;6,03;1,45
03.01.21;00:40:00;bw09;6,48;7,30;1299,859;100;72,10;843,53;5,63;0,05
03.01.21;00:50:00;bw09;6,75;7,55;1474,481;78;75,69;872,49;5,19;0,00
03.01.21;01:00:00;bw09;6,21;6,95;1123,788;77;68,04;803,90;5,09;0,00
03.01.21;01:10:00;bw09;6,44;7,08;1126,238;69;67,38;818,40;5,14;0,16
