Datum (Anlage);Zeit (Anlage);Wind Speed (avg);Rotor Speed [rpm] (avg);Active Power (avg);Nacelle Position (avg);Wind Direction (avg);Generator Speed [rpm] (avg);T Outside Nacelle Level (avg);Pitch Angle 1 (avg)
01.01.21;12:00:00;5,27;6,48;647,817;286;276,83;748,58;8,21;0,45
01.01.21;12:10:00;5,83;6,67;925,906;286;281,85;770,08;8,20;0,02
01.01.21;12:20:00;5,73;6,60;851,928;284;265,40;762,35;8,21;0,07
01.01.21;12:30:00;6,51;7,16;1219,913;283;290,22;827,28;8,16;0,00
01.01.21;12:40:00;6,00;6,85;1059,441;288;269,02;791,84;8,16;0,00
01.01.21;12:50:00;5,88;6,65;943,129;281;270,64;767,98;8,10;0,00
01.01.21;13:00:00;5,92;6,68;971,213;281;271,34;771,66;8,11;0,00
01.01.21;13:10:00;5,86;6,59;909,541;278;259,35;760,94;8,11;0,00
01.01.21;13:20:00;5,58;6,49;751,338;269;266,76;750,08;8,11;0,13
01.01.21;13:30:00;8,25;8,55;2646,217;284;304,41;987,98;7,76;0,00
01.01.21;13:40:00;9,25;9,46;3541,544;293;281,94;1092,91;7,32;0,02
01.01.21;13:50:00;6,52;7,23;1280,659;279;270,80;834,89;7,38;0,01
01.01.21;14:00:00;6,32;6,93;1099,884;275;261,03;801,24;7,77;0,01
01.01.21;14:10:00;6,02;6,66;955,424;262;261,20;769,84;7,76;0,01
01.01.21;14:20:00;5,78;6,62;915,871;262;254,35;764,79;7,74;0,01
01.01.21;14:30:00;6,13;6,60;915,396;262;272,35;762,19;7,76;0,01
01.01.21;14:40:00;6,95;7,93;1702,897;278;265,00;915,89;7,80;0,04
01.01.21;14:50:00;6,97;7,62;1504,695;270;269,73;880,60;7,72;0,05
01.01.21;15:00:00;6,13;6,86;1061,951;268;256,72;792,97;7,74;0,05
01.01.21;15:10:00;6,07;6,72;976,255;252;233,11;776,14;7,69;0,05
01.01.21;15:20:00;5,75;6,53;848,909;247;235,46;754,06;7,64;0,05
01.01.21;15:30:00;5,76;6,49;785,344;247;249,37;749,85;7,72;0,09
01.01.21;15:40:00;5,44;6,49;587,090;251;288,31;749,41;7,89;0,67
01.01.21;15:50:00;5,91;6,66;949,471;293;292,75;769,66;8,19;0,01
01.01.21;16:00:00;6,16;6,85;1060,203;294;293,98;791,73;8,23;0,00
01.01.21;16:10:00;6,20;6,93;1104,415;294;292,24;801,33;8,28;0,00
01.01.21;16:20:00;7,24;8,05;1839,649;296;298,36;930,32;8,11;0,00
01.01.21;16:30:00;7,45;8,49;2113,234;294;281,66;979,87;7,84;0,00
01.01.21;16:40:00;6,61;7,03;1148,916;289;310,15;811,69;7,99;0,00
01.01.21;16:50:00;6,11;6,63;885,450;299;286,36;766,09;7,90;0,07
01.01.21;17:00:00;6,85;7,30;1307,481;292;284,83;843,19;7,84;0,01
01.01.21;17:10:00;6,18;6,77;942,688;284;282,22;782,64;7,98;0,15
01.01.21;17:20:00;7,00;7,89;1697,058;278;264,80;911,25;7,78;0,01
01.01.21;17:30:00;6,96;7,80;1616,646;269;262,26;900,97;7,79;0,01
01.01.21;17:40:00;6,21;6,87;1033,121;267;267,75;793,23;7,90;0,07
01.01.21;17:50:00;5,22;6,48;496,150;266;265,15;748,10;8,10;0,86
01.01.21;18:00:00;4,66;6,48;321,211;266;264,48;748,04;8,10;1,39
01.01.21;18:10:00;4,70;6,48;319,613;266;256,93;748,23;8,12;1,43
01.01.21;18:20:00;5,05;6,48;524,519;253;251,82;748,32;8,07;0,79
01.01.21;18:30:00;5,10;6,48;523,580;253;268,64;748,17;8,07;0,81
01.01.21;18:40:00;5,46;6,48;608,786;261;269,08;748,35;8,20;0,51
01.01.21;18:50:00;5,93;6,57;865,795;273;280,38;758,95;8,40;0,01
01.01.21;19:00:00;6,45;7,01;1135,636;301;318,08;810,02;8,26;0,01
01.01.21;19:10:00;7,54;8,34;2015,790;311;306,76;964,05;8,09;0,01
01.01.21;19:20:00;8,06;9,16;2678,783;302;297,71;1057,47;7,97;0,01
01.01.21;19:30:00;7,46;8,05;1786,841;299;304,33;929,98;7,78;0,01
01.01.21;19:40:00;5,66;6,56;642,944;302;328,35;757,74;7,81;0,57
01.01.21;19:50:00;4,58;6,48;293,985;314;294,03;748,16;7,84;1,37
01.01.21;20:00:00;5,47;6,58;672,181;301;298,99;759,88;7,82;0,61
01.01.21;20:10:00;5,61;6,53;809,540;301;293,32;754,08;7,55;0,11
01.01.21;20:20:00;5,16;6,48;544,554;295;279,37;748,02;7,66;0,72
01.01.21;20:30:00;6,22;6,96;1010,918;289;306,33;804,75;7,50;0,39
01.01.21;20:40:00;6,67;7,41;1300,218;309;309,91;855,61;7,41;0,23
01.01.21;20:50:00;3,69;6,48;92,650;311;298,85;747,89;7,72;1,50
01.01.21;21:00:00;2,54;6,48;-35,662;303;281,69;748,05;7,90;1,50
01.01.21;21:10:00;2,76;1,47;-19,297;289;261,26;167,29;7,99;39,73
01.01.21;21:20:00;2,96;0,79;-7,658;277;271,38;91,18;7,85;45,01
01.01.21;21:30:00;3,03;0,81;-7,633;277;275,87;93,77;7,90;45,01
01.01.21;21:40:00;4,00;1,69;15,025;268;255,10;197,73;7,97;37,02
01.01.21;21:50:00;5,73;6,89;806,296;264;261,50;796,37;7,52;0,70
01.01.21;22:00:00;5,52;6,66;601,568;294;331,97;769,18;7,79;0,70
01.01.21;22:10:00;7,09;7,83;1665,598;329;330,39;905,33;7,92;0,02
01.01.21;22:20:00;7,81;8,96;2483,904;324;319,47;1034,34;7,94;0,02
01.01.21;22:30:00;6,56;7,51;1430,523;316;314,94;866,83;7,99;0,02
01.01.21;22:40:00;5,68;6,52;733,832;309;293,10;753,34;8,17;0,28
01.01.21;22:50:00;6,68;7,25;1285,174;305;312,29;837,97;8,19;0,02
01.01.21;23:00:00;7,52;8,55;2262,348;315;314,43;987,83;8,08;0,02
01.01.21;23:10:00;8,03;9,27;2768,311;315;310,97;1070,83;7,68;0,02
